object_index,object_name,type,kind,samples,inside,near_occupied,coverage_inside,mean_distance_to_occupied_m,max_distance_to_occupied_m,occupied_samples,free_samples,unknown_samples,outside_samples
2,,PicketFence,fence,29,29,0,0.0,3.3475752931733833,4.756574397610112,0,0,29,0
1,,PicketFence,fence,29,29,29,1.0,0.06791858750523161,0.304138126514911,14,1,14,0
3,,PicketFence,fence,22,22,22,1.0,0.004545454545454546,0.05,20,2,0,0
4,,PicketFence,fence,22,22,22,1.0,0.002272727272727273,0.05,21,1,0,0
8,,StreetLight,obstacle,1,1,0,0.0,2.121320343559643,2.121320343559643,0,0,1,0
11,,StoneBench,obstacle,1,1,0,0.0,0.5147815070493501,0.5147815070493501,0,1,0,0
17,,TrafficCone,obstacle,1,1,0,0.0,0.7615773105863909,0.7615773105863909,0,0,1,0
5,,StreetLight,obstacle,1,1,1,1.0,0.05,0.05,0,1,0,0
6,,StreetLight,obstacle,1,1,1,1.0,0.05,0.05,0,1,0,0
7,,StreetLight,obstacle,1,1,1,1.0,0.1118033988749895,0.1118033988749895,0,0,1,0
9,,Bench,obstacle,1,1,1,1.0,0.05,0.05,0,1,0,0
10,,Bench,obstacle,1,1,1,1.0,0.07071067811865477,0.07071067811865477,0,0,1,0
12,,PublicBin,obstacle,1,1,1,1.0,0.15000000000000002,0.15000000000000002,0,0,1,0
13,,Cypress,obstacle,1,1,1,1.0,0.42720018726587655,0.42720018726587655,0,0,1,0
14,,Cypress,obstacle,1,1,1,1.0,0.4301162633521314,0.4301162633521314,0,0,1,0
15,,Cypress,obstacle,1,1,1,1.0,0.42720018726587655,0.42720018726587655,0,0,1,0
16,,PalmTree,obstacle,1,1,1,1.0,0.25,0.25,0,0,1,0
18,,TrafficCone,obstacle,1,1,1,1.0,0.2692582403567252,0.2692582403567252,0,0,1,0
19,,TrafficCone,obstacle,1,1,1,1.0,0.3535533905932738,0.3535533905932738,0,0,1,0
20,,TrafficCone,obstacle,1,1,1,1.0,0.36055512754639896,0.36055512754639896,0,0,1,0
