object_index,object_name,type,kind,samples,inside,near_occupied,coverage_inside,mean_distance_to_occupied_m,max_distance_to_occupied_m,occupied_samples,free_samples,unknown_samples,outside_samples
2,,PicketFence,fence,29,29,8,0.27586206896551724,2.0203868930783826,4.224038352098617,6,0,23,0
1,,PicketFence,fence,29,29,29,1.0,0.007940605647351705,0.18027756377319948,27,0,2,0
3,,PicketFence,fence,22,22,22,1.0,0.011408556449629738,0.18027756377319948,20,0,2,0
4,,PicketFence,fence,22,22,22,1.0,0.04205692320926285,0.4949747468305833,19,0,3,0
17,,TrafficCone,obstacle,1,1,0,0.0,1.40356688476182,1.40356688476182,0,0,1,0
18,,TrafficCone,obstacle,1,1,0,0.0,1.6124515496597098,1.6124515496597098,0,0,1,0
20,,TrafficCone,obstacle,1,1,0,0.0,1.2980754985747172,1.2980754985747172,0,0,1,0
5,,StreetLight,obstacle,1,1,1,1.0,0.05,0.05,0,0,1,0
6,,StreetLight,obstacle,1,1,1,1.0,0.0,0.0,1,0,0,0
7,,StreetLight,obstacle,1,1,1,1.0,0.05,0.05,0,0,1,0
8,,StreetLight,obstacle,1,1,1,1.0,0.0,0.0,1,0,0,0
9,,Bench,obstacle,1,1,1,1.0,0.1118033988749895,0.1118033988749895,0,0,1,0
10,,Bench,obstacle,1,1,1,1.0,0.0,0.0,1,0,0,0
11,,StoneBench,obstacle,1,1,1,1.0,0.07071067811865477,0.07071067811865477,0,0,1,0
12,,PublicBin,obstacle,1,1,1,1.0,0.05,0.05,0,0,1,0
13,,Cypress,obstacle,1,1,1,1.0,0.05,0.05,0,0,1,0
14,,Cypress,obstacle,1,1,1,1.0,0.07071067811865477,0.07071067811865477,0,0,1,0
15,,Cypress,obstacle,1,1,1,1.0,0.0,0.0,1,0,0,0
16,,PalmTree,obstacle,1,1,1,1.0,0.0,0.0,1,0,0,0
19,,TrafficCone,obstacle,1,1,1,1.0,0.4949747468305833,0.4949747468305833,0,0,1,0
