wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,tf_error,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count
0.505,1782020884.281,,,missing_tf,"""map"" passed to lookupTransform argument target_frame does not exist. ",,,,,,,,,,,,,,,,,,,,,,,,,,
1.005,1782020884.781,,,missing_tf,Could not find a connection between 'map' and 'base_footprint' because they are not part of the same tree.Tf has two or more unconnected trees.,,,,,,,,,,,,,,,,,,,,,,,,,,
1.505,1782020885.281,,,missing_tf,Could not find a connection between 'map' and 'base_footprint' because they are not part of the same tree.Tf has two or more unconnected trees.,,,,,,,,,,,,,,,,,,,,,,,,,,
2.005,1782020885.781,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
2.506,1782020886.281,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
3.005,1782020886.781,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
3.506,1782020887.281,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
4.005,1782020887.781,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
4.506,1782020888.281,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
5.006,1782020888.781,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
5.505,1782020889.281,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
6.006,1782020889.782,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,0.065,-0.002,-2.3,0.065,-0.002,0,ok,0,ok,0,ok,35,31,31,0,0,ok,35,35,35,0,0,ok,2.298,704
6.506,1782020890.281,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,0.444,-0.066,-17.8,0.451,-0.069,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,4.694,706
7.006,1782020890.781,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,0.842,-0.247,-30.9,0.829,-0.248,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,4.135,717
7.506,1782020891.281,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,1.184,-0.479,-36.8,1.153,-0.473,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,3.669,716
8.006,1782020891.781,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,1.506,-0.766,-45.0,1.472,-0.746,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,3.385,717
8.506,1782020892.281,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,1.657,-0.932,-69.0,1.626,-0.938,0,ok,0,ok,0,ok,7,7,7,0,0,ok,7,7,7,0,0,ok,5.073,714
9.006,1782020892.781,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,,1.611,-0.902,-106.7,1.626,-0.938,0,ok,0,ok,0,ok,43,31,31,0,0,ok,43,43,43,0,0,ok,11.907,719
9.506,1782020893.281,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,,1.52,-0.917,-171.9,1.492,-0.971,0,ok,0,ok,0,ok,43,31,31,0,0,ok,43,43,43,0,0,ok,3.156,706
10.006,1782020893.781,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,,1.09,-0.885,171.5,1.057,-0.959,0,ok,0,ok,0,ok,38,31,31,0,0,ok,38,38,38,0,0,ok,5.338,719
10.506,1782020894.281,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,,0.758,-0.828,163.6,0.722,-0.89,0,ok,0,ok,0,ok,38,38,38,0,0,ok,38,38,38,0,0,ok,5.055,715
11.006,1782020894.781,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,,0.382,-0.678,150.3,0.341,-0.717,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,4.626,699
11.506,1782020895.281,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,,-0.001,-0.444,139.7,-0.012,-0.472,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,4.205,697
12.006,1782020895.781,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,,-0.313,-0.156,133.6,-0.329,-0.179,0,ok,0,ok,0,ok,7,7,7,0,0,ok,7,7,7,0,0,ok,3.78,695
12.506,1782020896.281,2,"heading to waypoint #2 (-0.5, 0.7)",ok,,,-0.402,-0.041,113.4,-0.428,-0.061,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,3.602,698
13.006,1782020896.781,2,"heading to waypoint #2 (-0.5, 0.7)",ok,,,-0.505,0.346,104.1,-0.555,0.321,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,3.32,700
13.506,1782020897.281,3,"heading to waypoint #3 (0.1, 0.7)",ok,,,-0.508,0.491,83.2,-0.573,0.474,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,14,0,0,ok,5.206,698
14.006,1782020897.781,3,"heading to waypoint #3 (0.1, 0.7)",ok,,,-0.332,0.719,39.1,-0.408,0.703,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,14,0,0,ok,3.013,698
14.506,1782020898.281,3,"heading to waypoint #3 (0.1, 0.7)",ok,,,-0.004,0.826,-7.3,-0.071,0.834,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,14,0,0,ok,2.647,704
15.006,1782020898.781,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,,0.021,0.818,-0.3,-0.048,0.831,0,ok,0,ok,0,ok,72,30,30,0,0,ok,72,72,72,0,0,ok,2.608,704
15.506,1782020899.281,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,,0.048,0.902,63.6,0.005,0.913,0,ok,0,ok,0,ok,72,32,32,0,0,ok,72,72,72,0,0,ok,2.562,693
16.006,1782020899.781,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,,0.195,1.283,77.5,0.125,1.293,0,ok,0,ok,0,ok,65,31,31,0,0,ok,65,65,65,0,0,ok,4.178,700
16.506,1782020900.281,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,,0.209,1.676,89.2,0.163,1.698,0,ok,0,ok,0,ok,65,39,39,0,0,ok,65,65,65,0,0,ok,4.577,710
17.006,1782020900.781,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,,0.18,2.104,101.2,0.112,2.12,0,ok,0,ok,0,ok,47,28,28,0,0,ok,47,47,47,0,0,ok,4.469,703
17.506,1782020901.282,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,,0.066,2.488,105.3,-0.009,2.521,0,ok,0,ok,0,ok,47,37,37,0,0,ok,47,47,47,0,0,ok,3.981,701
18.006,1782020901.782,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,,-0.029,2.827,111.6,-0.142,2.899,0,ok,0,ok,0,ok,47,43,43,0,0,ok,47,47,47,0,0,ok,2.855,703
18.506,1782020902.281,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,,-0.205,3.204,115.9,-0.343,3.271,0,ok,0,ok,0,ok,30,30,30,0,0,ok,30,30,30,0,0,ok,2.462,706
19.006,1782020902.782,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,,-0.374,3.566,116.1,-0.536,3.617,0,ok,0,ok,0,ok,30,30,30,0,0,ok,30,30,30,0,0,ok,2.349,708
19.506,1782020903.281,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,,-0.577,3.957,114.8,-0.731,3.979,0,ok,0,ok,0,ok,13,13,13,0,0,ok,13,13,13,0,0,ok,2.135,710
20.006,1782020903.781,5,"heading to waypoint #5 (-1.0, 4.7)",ok,,,-0.681,4.172,96.4,-0.832,4.202,0,ok,0,ok,0,ok,11,11,11,0,0,ok,11,11,11,0,0,ok,2.903,706
20.506,1782020904.281,5,"heading to waypoint #5 (-1.0, 4.7)",ok,,,-0.731,4.452,104.0,-0.893,4.492,0,ok,0,ok,0,ok,11,11,11,0,0,ok,11,11,11,0,0,ok,2.338,711
21.006,1782020904.781,6,"heading to waypoint #6 (1.1, 6.9)",ok,,,-0.79,4.61,131.7,-0.953,4.611,0,ok,0,ok,0,ok,54,37,37,0,0,ok,54,54,52,0,0,ok,1.736,716
21.506,1782020905.281,6,"heading to waypoint #6 (1.1, 6.9)",ok,,,-0.802,4.748,82.0,-0.954,4.739,0,ok,0,ok,0,ok,54,38,38,0,0,ok,54,54,52,0,0,ok,3.617,711
22.006,1782020905.781,6,"heading to waypoint #6 (1.1, 6.9)",ok,,,-0.701,5.146,68.7,-0.858,5.127,0,ok,0,ok,0,ok,54,37,37,0,0,ok,54,54,52,0,0,ok,3.359,716
22.506,1782020906.281,6,"heading to waypoint #6 (1.1, 6.9)",ok,,,-0.568,5.468,53.2,-0.683,5.451,0,ok,59,ok,0,ok,53,40,40,0,0,ok,53,53,45,0,0,ok,3.053,718
23.006,1782020906.781,6,"heading to waypoint #6 (1.1, 6.9)",pose_global_lethal_static_free,,"pose_global_lethal,pose_global_lethal_static_free",-0.326,5.705,42.6,-0.427,5.713,0,ok,99,ok,0,ok,53,48,48,0,0,ok,53,53,45,0,0,ok,2.828,712
23.506,1782020907.281,6,"heading to waypoint #6 (1.1, 6.9)",pose_global_lethal_static_free,,"pose_global_lethal,pose_global_lethal_static_free",-0.056,5.948,37.0,-0.129,5.953,0,ok,100,ok,0,ok,53,53,53,0,0,ok,53,53,45,0,0,ok,2.388,532
24.006,1782020907.781,6,"heading to waypoint #6 (1.1, 6.9)",ok,,,0.263,6.184,33.8,0.181,6.178,0,ok,65,ok,0,ok,20,20,20,0,0,ok,20,20,16,1,0,ok,2.25,518
24.506,1782020908.281,6,"heading to waypoint #6 (1.1, 6.9)",ok,,,0.564,6.409,34.7,0.504,6.398,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,16,1,0,ok,1.982,713
25.006,1782020908.781,6,"heading to waypoint #6 (1.1, 6.9)",ok,,,0.856,6.548,30.4,0.798,6.599,0,ok,0,ok,0,ok,8,8,8,0,0,ok,8,8,8,0,0,ok,0.912,710
25.506,1782020909.281,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,1.057,6.644,51.3,0.975,6.749,0,ok,0,ok,0,ok,77,27,27,0,0,ok,77,77,77,0,0,ok,1.411,715
26.006,1782020909.781,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,1.269,6.797,49.2,1.121,6.985,0,ok,0,ok,0,ok,77,29,29,0,0,ok,77,77,77,0,0,ok,5.673,712
26.506,1782020910.282,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,1.537,7.065,48.5,1.343,7.344,0,ok,0,ok,0,ok,77,34,34,0,0,ok,77,77,77,0,0,ok,5.303,710
27.006,1782020910.781,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,1.836,7.239,50.8,1.561,7.707,0,ok,0,ok,0,ok,68,30,30,0,0,ok,68,68,67,0,0,ok,4.92,709
27.506,1782020911.282,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,2.054,7.538,62.9,1.699,8.078,0,ok,0,ok,0,ok,68,38,38,0,0,ok,68,68,67,0,0,ok,6.104,711
28.006,1782020911.781,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,2.226,7.892,67.6,1.785,8.488,0,ok,0,ok,0,ok,55,30,30,0,0,ok,55,55,54,0,0,ok,8.026,707
28.506,1782020912.282,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,2.349,8.169,74.9,1.815,8.869,0,ok,0,ok,0,ok,55,39,39,0,0,ok,55,55,54,0,0,ok,7.668,702
29.006,1782020912.782,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,2.449,8.498,78.8,1.801,9.256,0,ok,0,ok,0,ok,40,29,29,0,0,ok,40,40,40,0,0,ok,7.312,701
29.506,1782020913.281,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,2.473,8.862,80.7,1.758,9.646,0,ok,0,ok,0,ok,40,38,38,0,0,ok,40,40,40,0,0,ok,6.903,696
30.006,1782020913.782,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,2.53,9.233,81.7,1.71,10.038,0,ok,0,ok,0,ok,40,40,40,0,0,ok,40,40,40,0,0,ok,6.511,695
30.506,1782020914.281,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,2.544,9.614,85.1,1.65,10.425,0,ok,0,ok,0,ok,24,24,24,0,0,ok,24,24,24,0,0,ok,6.121,696
31.006,1782020914.782,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,2.542,10.0,90.7,1.574,10.814,0,ok,0,ok,0,ok,24,24,24,0,0,ok,24,24,24,0,0,ok,5.712,696
31.505,1782020915.281,7,"heading to waypoint #7 (2.3, 10.4)",ok,,,2.409,10.296,123.6,1.426,11.119,0,ok,0,ok,0,ok,6,6,6,0,0,ok,6,6,6,0,0,ok,5.366,670
32.006,1782020915.781,8,"heading to waypoint #8 (3.1, 11.2)",ok,,,2.413,10.309,104.6,1.419,11.128,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,5.362,682
32.506,1782020916.281,8,"heading to waypoint #8 (3.1, 11.2)",ok,,,2.398,10.663,78.2,1.372,11.516,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,5.0,691
33.005,1782020916.781,8,"heading to waypoint #8 (3.1, 11.2)",ok,,,2.507,11.046,64.1,1.426,11.938,0,ok,0,ok,0,ok,13,13,13,0,0,ok,13,13,13,0,0,ok,4.607,673
33.506,1782020917.281,8,"heading to waypoint #8 (3.1, 11.2)",ok,,,2.711,11.327,36.6,1.62,12.266,0,ok,0,ok,0,ok,13,13,13,0,0,ok,13,13,13,0,0,ok,4.669,669
34.006,1782020917.781,9,"heading to waypoint #9 (3.3, 13.5)",ok,,,2.929,11.413,-5.3,1.815,12.387,0,ok,0,ok,0,ok,43,29,29,0,0,ok,43,43,43,0,0,ok,4.507,675
34.506,1782020918.281,9,"heading to waypoint #9 (3.3, 13.5)",ok,,,2.93,11.407,38.7,1.831,12.398,0,ok,0,ok,0,ok,43,29,29,0,0,ok,43,43,43,0,0,ok,4.632,673
35.006,1782020918.781,9,"heading to waypoint #9 (3.3, 13.5)",ok,,,3.084,11.697,63.3,1.925,12.719,0,ok,0,ok,0,ok,43,32,32,0,0,ok,43,43,43,0,0,ok,3.965,687
35.506,1782020919.281,9,"heading to waypoint #9 (3.3, 13.5)",ok,,,3.212,12.094,74.3,1.993,13.136,0,ok,0,ok,0,ok,36,35,35,0,0,ok,36,36,36,0,0,ok,3.584,689
36.006,1782020919.781,9,"heading to waypoint #9 (3.3, 13.5)",ok,,,3.266,12.511,78.3,2.0,13.569,0,ok,0,ok,0,ok,36,36,36,0,0,ok,36,36,36,0,0,ok,3.169,700
36.506,1782020920.281,9,"heading to waypoint #9 (3.3, 13.5)",ok,,,3.308,12.915,82.7,1.972,13.975,0,ok,0,ok,0,ok,17,17,17,0,0,ok,17,17,17,0,0,ok,2.766,692
37.006,1782020920.782,9,"heading to waypoint #9 (3.3, 13.5)",ok,,,3.384,13.351,88.4,1.932,14.417,0,ok,0,ok,0,ok,17,17,17,0,0,ok,17,17,17,0,0,ok,2.343,692
37.506,1782020921.281,11,"heading to waypoint #11 (3.6, 11.4)",ok,,,3.401,13.39,90.4,1.928,14.439,0,ok,0,ok,0,ok,41,31,31,0,0,ok,41,41,41,0,0,ok,2.298,691
