lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec
0,0,1.705,-1.12,,reached,succeeded,4,2.652,3.542
0,1,1.255,-4.92,,reached,succeeded,4,5.101,8.644
0,2,-0.495,-7.32,,reached,succeeded,4,4.101,12.747
0,3,-0.495,-11.32,,reached,succeeded,4,5.801,18.548
0,4,-0.495,-12.47,,reached,succeeded,4,2.301,20.85
0,5,0.955,-11.37,,reached,succeeded,4,6.151,27.002
0,6,1.155,-11.22,,reached,succeeded,4,0.601,27.604
0,7,3.555,-12.62,,reached,succeeded,4,5.601,33.206
0,8,3.555,-11.32,,missed,goal_timeout,,13.675,46.882
0,9,1.655,-8.12,,missed,action_status_6,6,7.726,54.609
0,10,0.855,-7.32,,missed,goal_timeout,,13.368,67.977
0,11,3.205,-4.32,,missed,goal_timeout,,13.549,81.527
0,12,3.555,-3.97,,missed,goal_timeout,,13.335,94.862
0,13,4.555,-0.42,,missed,action_status_6,6,7.197,102.06
0,14,7.505,0.43,,reached,succeeded,4,10.651,112.712
0,15,11.505,0.43,,missed,goal_timeout,,15.553,128.266
0,16,12.555,0.53,,missed,goal_timeout,,13.645,141.912
0,17,12.605,0.68,,missed,action_status_6,6,6.651,148.563
0,18,11.505,0.68,,missed,mission_timeout,,1.584,150.148
0,19,7.505,0.68,,missed,mission_timeout,,,150.148
0,20,3.605,0.48,,missed,mission_timeout,,,150.148
0,21,1.505,2.93,,missed,mission_timeout,,,150.148
0,22,4.405,4.68,,missed,mission_timeout,,,150.148
0,23,1.555,4.43,,missed,mission_timeout,,,150.148
0,24,2.105,8.18,,missed,mission_timeout,,,150.148
0,25,3.555,11.38,,missed,mission_timeout,,,150.148
0,26,3.555,13.53,,missed,mission_timeout,,,150.148
0,27,3.305,13.53,,missed,mission_timeout,,,150.148
0,28,3.055,11.23,,missed,mission_timeout,,,150.148
0,29,1.905,7.68,,missed,mission_timeout,,,150.148
0,30,1.105,6.88,,missed,mission_timeout,,,150.148
0,31,-0.995,4.68,,missed,mission_timeout,,,150.148
0,32,-0.195,0.98,,missed,mission_timeout,,,150.148
0,33,0.105,0.68,,missed,mission_timeout,,,150.148
0,34,-0.495,0.68,,missed,mission_timeout,,,150.148
0,35,-0.495,0.13,,missed,mission_timeout,,,150.148
0,36,-3.445,-2.42,,missed,mission_timeout,,,150.148
0,37,-4.495,-3.47,,missed,mission_timeout,,,150.148
0,38,-3.895,-0.07,,missed,mission_timeout,,,150.148
0,39,-6.645,2.38,,missed,mission_timeout,,,150.148
0,40,-7.195,4.03,,missed,mission_timeout,,,150.148
0,41,-7.445,4.68,,missed,mission_timeout,,,150.148
0,42,-8.495,7.03,,missed,mission_timeout,,,150.148
0,43,-8.495,3.03,,missed,mission_timeout,,,150.148
0,44,-7.495,0.63,,missed,mission_timeout,,,150.148
0,45,-8.495,0.68,,missed,mission_timeout,,,150.148
0,46,-12.095,-0.17,,missed,mission_timeout,,,150.148
0,47,-12.445,-0.52,,missed,mission_timeout,,,150.148
0,48,-13.945,-0.47,,missed,mission_timeout,,,150.148
