wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count
0.504,1782021506.6,,,local_missing,local_missing,,,,0.0,0.0,,,,,,missing,0,0,0,0,0,missing_costmap,0,0,0,0,0,missing_costmap,,0
1.004,1782021507.1,,,ok,,,,,0.0,0.0,,,,,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
1.504,1782021507.6,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
2.004,1782021508.1,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
2.504,1782021508.6,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
3.004,1782021509.1,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
3.504,1782021509.6,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
4.004,1782021510.1,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
4.504,1782021510.6,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
5.004,1782021511.1,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
5.504,1782021511.6,0,"heading to waypoint #0 (1.7, -1.1)",ok,,0.074,-0.002,-2.3,0.074,-0.002,0,ok,0,ok,0,ok,35,31,31,0,0,ok,35,35,35,0,0,ok,2.338,703
6.004,1782021512.1,0,"heading to waypoint #0 (1.7, -1.1)",ok,,0.459,-0.092,-25.8,0.463,-0.093,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,4.63,707
6.504,1782021512.6,0,"heading to waypoint #0 (1.7, -1.1)",ok,,0.797,-0.33,-40.9,0.795,-0.327,0,ok,0,ok,0,ok,21,21,21,0,0,ok,21,21,21,0,0,ok,4.164,718
7.005,1782021513.1,0,"heading to waypoint #0 (1.7, -1.1)",ok,,1.12,-0.624,-43.1,1.102,-0.612,0,ok,0,ok,0,ok,21,21,21,0,0,ok,21,21,21,0,0,ok,3.829,718
7.504,1782021513.6,0,"heading to waypoint #0 (1.7, -1.1)",ok,,1.442,-0.914,-42.9,1.403,-0.894,0,ok,0,ok,0,ok,21,21,21,0,0,ok,21,21,21,0,0,ok,3.433,719
8.004,1782021514.1,1,"heading to waypoint #1 (1.3, -4.9)",ok,,1.574,-1.034,-41.3,1.544,-1.024,0,ok,0,ok,0,ok,79,30,30,0,0,ok,79,79,79,0,0,ok,3.287,719
8.504,1782021514.6,1,"heading to waypoint #1 (1.3, -4.9)",ok,,1.633,-1.223,-73.5,1.599,-1.199,0,ok,0,ok,0,ok,79,32,32,0,0,ok,79,79,79,0,0,ok,4.911,713
9.004,1782021515.1,1,"heading to waypoint #1 (1.3, -4.9)",ok,,1.713,-1.624,-82.1,1.685,-1.639,0,ok,0,ok,0,ok,79,42,42,0,0,ok,79,79,79,0,0,ok,4.555,710
9.505,1782021515.601,1,"heading to waypoint #1 (1.3, -4.9)",ok,,1.716,-2.03,-93.1,1.687,-2.064,0,ok,0,ok,0,ok,66,35,35,0,0,ok,66,66,66,0,0,ok,9.195,711
10.004,1782021516.1,1,"heading to waypoint #1 (1.3, -4.9)",ok,,1.707,-2.454,-93.5,1.67,-2.49,0,ok,0,ok,0,ok,66,46,46,0,0,ok,66,66,66,0,0,ok,9.231,712
10.504,1782021516.6,1,"heading to waypoint #1 (1.3, -4.9)",ok,,1.695,-2.811,-97.7,1.646,-2.834,0,ok,0,ok,0,ok,47,31,31,0,0,ok,47,47,47,0,0,ok,11.372,714
11.004,1782021517.1,1,"heading to waypoint #1 (1.3, -4.9)",ok,,1.62,-3.241,-97.1,1.597,-3.269,0,ok,0,ok,0,ok,47,41,41,0,0,ok,47,47,47,0,0,ok,11.674,715
11.504,1782021517.6,1,"heading to waypoint #1 (1.3, -4.9)",ok,,1.56,-3.636,-96.9,1.554,-3.68,0,ok,0,ok,0,ok,29,29,29,0,0,ok,29,29,29,0,0,ok,11.745,717
12.004,1782021518.1,1,"heading to waypoint #1 (1.3, -4.9)",ok,,1.514,-4.071,-95.6,1.511,-4.108,0,ok,0,ok,0,ok,29,29,29,0,0,ok,29,29,29,0,0,ok,11.792,719
12.504,1782021518.6,1,"heading to waypoint #1 (1.3, -4.9)",ok,,1.452,-4.478,-97.2,1.469,-4.537,0,ok,0,ok,0,ok,10,10,10,0,0,ok,10,10,10,0,0,ok,11.354,718
13.004,1782021519.1,2,"heading to waypoint #2 (-0.5, -7.3)",ok,,1.411,-4.751,-118.2,1.409,-4.856,0,ok,0,ok,0,ok,52,29,29,0,0,ok,52,52,52,0,0,ok,8.991,718
13.504,1782021519.6,2,"heading to waypoint #2 (-0.5, -7.3)",ok,,1.274,-5.004,-123.4,1.262,-5.108,0,ok,0,ok,0,ok,52,33,33,0,0,ok,52,52,52,0,0,ok,8.739,717
