wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,tf_error,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count
0.506,1782022767.435,,,missing_tf,"""map"" passed to lookupTransform argument target_frame does not exist. ",,,,,,,,,,,,,,,,,,,,,,,,,,
1.006,1782022767.935,,,ok,,,,,,0.0,0.0,,,,,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
1.506,1782022768.436,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
2.006,1782022768.936,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
2.506,1782022769.435,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
3.006,1782022769.935,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
3.506,1782022770.436,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
4.006,1782022770.935,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
4.506,1782022771.435,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
5.006,1782022771.936,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
5.506,1782022772.436,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,35,31,31,0,0,ok,35,35,35,0,0,ok,4.626,702
6.006,1782022772.936,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,0.478,-0.096,-22.7,0.481,-0.098,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,4.667,707
6.506,1782022773.435,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,0.793,-0.272,-35.7,0.78,-0.276,0,ok,0,ok,0,ok,23,23,23,0,0,ok,23,23,23,0,0,ok,4.194,718
7.007,1782022773.936,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,1.116,-0.506,-40.4,1.095,-0.517,0,ok,0,ok,0,ok,23,23,23,0,0,ok,23,23,23,0,0,ok,3.684,718
7.506,1782022774.436,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,1.383,-0.773,-43.1,1.372,-0.771,0,ok,0,ok,0,ok,10,10,10,0,0,ok,10,10,10,0,0,ok,3.477,718
8.007,1782022774.936,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,1.59,-0.977,-46.8,1.593,-0.984,0,ok,0,ok,0,ok,10,10,10,0,0,ok,10,10,10,0,0,ok,3.5,719
8.506,1782022775.436,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,,1.592,-0.982,-79.0,1.594,-0.989,0,ok,0,ok,0,ok,42,30,30,0,0,ok,42,42,42,0,0,ok,5.056,713
9.007,1782022775.936,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,,1.647,-0.981,-153.2,1.595,-0.995,0,ok,0,ok,0,ok,42,29,29,0,0,ok,42,42,42,0,0,ok,3.213,706
