edge,from_x,from_y,to_x,to_y,path_cells,geodesic_m,min_clearance_m,shortfall_integral_m2,low_clearance_cells
0,1.705,-1.12,0.355,-0.72,28,1.516,2.192,0.0,0
1,0.355,-0.72,-0.495,0.13,18,1.202,2.192,0.0,0
2,-0.495,0.13,-0.495,0.68,12,0.55,2.018,0.0,0
3,-0.495,0.68,0.105,0.68,13,0.6,2.018,0.0,0
4,0.105,0.68,0.105,2.18,31,1.5,1.95,0.0,0
5,0.105,2.18,0.055,3.63,30,1.471,1.95,0.0,0
6,0.055,3.63,-0.995,4.68,22,1.485,1.226,0.0,0
7,-0.995,4.68,-0.395,4.88,13,0.683,0.776,0.0,0
8,-0.395,4.88,0.605,6.38,31,1.914,0.35,0.4473,29
9,0.605,6.38,1.105,6.88,11,0.707,0.763,0.0,0
10,1.105,6.88,1.355,7.68,17,0.904,0.763,0.0,0
11,1.355,7.68,2.055,9.93,46,2.54,0.35,0.62006,43
12,2.055,9.93,2.905,11.08,24,1.502,0.75,0.0,0
13,2.905,11.08,3.055,11.23,4,0.212,1.451,0.0,0
14,3.055,11.23,3.305,12.63,29,1.504,0.95,0.0,0
15,3.305,12.63,3.305,13.53,19,0.9,0.996,0.0,0
16,3.305,13.53,3.555,13.53,6,0.25,1.282,0.0,0
17,3.555,13.53,3.555,12.03,31,1.5,0.7,0.01789,11
18,3.555,12.03,3.555,11.38,14,0.65,0.762,0.0,0
19,3.555,11.38,3.305,9.98,29,1.504,0.886,0.0,0
20,3.305,9.98,3.305,9.63,8,0.35,0.762,0.0,0
21,3.305,9.63,3.805,3.93,145,7.904,0.35,2.09628,134
22,3.805,3.93,5.005,4.33,25,1.366,0.75,0.0,0
23,5.005,4.33,6.605,5.13,33,1.931,0.35,0.42485,31
24,6.605,5.13,6.905,5.43,7,0.424,0.781,0.0,0
25,6.905,5.43,6.405,5.23,11,0.583,0.762,0.0,0
26,6.405,5.23,4.405,4.88,41,2.145,0.35,0.57207,39
27,4.405,4.88,2.705,3.53,35,2.259,0.35,0.37466,31
28,2.705,3.53,2.455,3.28,6,0.354,0.752,0.0,0
29,2.455,3.28,5.605,0.88,105,5.925,0.35,1.67857,103
30,5.605,0.88,7.105,0.88,31,1.5,0.781,0.0,0
31,7.105,0.88,7.505,0.68,9,0.483,1.518,0.0,0
32,7.505,0.68,9.005,0.68,31,1.5,1.834,0.0,0
33,9.005,0.68,10.505,0.68,31,1.5,2.324,0.0,0
34,10.505,0.68,11.505,0.68,21,1.0,2.6,0.0,0
35,11.505,0.68,12.605,0.68,23,1.1,2.706,0.0,0
36,12.605,0.68,12.555,0.53,4,0.171,3.182,0.0,0
37,12.555,0.53,11.505,0.43,22,1.091,2.878,0.0,0
38,11.505,0.43,10.005,0.43,31,1.5,2.631,0.0,0
39,10.005,0.43,8.505,0.43,31,1.5,2.326,0.0,0
40,8.505,0.43,7.505,0.43,21,1.0,2.072,0.0,0
41,7.505,0.43,6.105,0.18,29,1.504,1.524,0.0,0
42,6.105,0.18,5.305,-0.22,17,0.966,0.776,0.0,0
43,5.305,-0.22,3.705,-3.37,64,3.813,0.35,0.75961,61
44,3.705,-3.37,3.555,-3.97,13,0.662,0.765,0.0,0
45,3.555,-3.97,2.955,-5.22,26,1.499,1.101,0.0,0
46,2.955,-5.22,1.905,-6.27,22,1.485,1.501,0.0,0
47,1.905,-6.27,0.855,-7.32,22,1.485,2.074,0.0,0
48,0.855,-7.32,1.105,-8.72,29,1.504,2.974,0.0,0
49,1.105,-8.72,2.055,-9.82,23,1.494,3.07,0.0,0
50,2.055,-9.82,3.105,-10.87,22,1.485,2.662,0.0,0
51,3.105,-10.87,3.555,-11.32,10,0.636,2.482,0.0,0
52,3.555,-11.32,3.555,-12.62,27,1.3,2.482,0.0,0
53,3.555,-12.62,2.205,-12.27,28,1.495,3.1,0.0,0
54,2.205,-12.27,1.155,-11.22,22,1.485,3.45,0.0,0
55,1.155,-11.22,0.955,-11.37,5,0.262,4.353,0.0,0
56,0.955,-11.37,-0.195,-12.17,24,1.481,3.493,0.0,0
57,-0.195,-12.17,-0.495,-12.47,7,0.424,3.289,0.0,0
58,-0.495,-12.47,-0.495,-11.32,24,1.15,2.957,0.0,0
59,-0.495,-11.32,-0.495,-9.82,31,1.5,2.514,0.0,0
60,-0.495,-9.82,-0.495,-8.32,31,1.5,2.074,0.0,0
61,-0.495,-8.32,-0.495,-7.32,21,1.0,1.787,0.0,0
62,-0.495,-7.32,-0.495,-5.82,31,1.5,1.346,0.0,0
63,-0.495,-5.82,-0.495,-4.32,31,1.5,0.901,0.0,0
64,-0.495,-4.32,-0.495,-3.82,11,0.5,0.762,0.0,0
65,-0.495,-3.82,-2.395,-1.92,66,3.561,0.35,0.8382,61
66,-2.395,-1.92,-3.595,-2.57,25,1.469,0.778,0.0,0
67,-3.595,-2.57,-4.495,-3.47,19,1.273,1.273,0.0,0
68,-4.495,-3.47,-5.145,-4.07,14,0.899,0.752,0.0,0
69,-5.145,-4.07,-7.145,-8.57,91,5.743,0.35,1.29899,89
70,-7.145,-8.57,-7.445,-8.87,7,0.424,0.75,0.0,0
71,-7.445,-8.87,-7.095,-8.47,9,0.545,0.778,0.0,0
72,-7.095,-8.47,-5.195,-4.07,89,5.601,0.35,1.53678,87
73,-5.195,-4.07,-5.045,-2.87,25,1.262,0.75,0.0,0
74,-5.045,-2.87,-4.095,0.03,59,3.459,0.35,0.84879,57
75,-4.095,0.03,-5.145,1.08,22,1.485,0.762,0.0,0
76,-5.145,1.08,-5.545,1.48,9,0.566,0.75,0.0,0
77,-5.545,1.48,-6.245,3.08,33,1.89,0.35,0.44058,31
78,-6.245,3.08,-7.195,4.03,20,1.344,0.75,0.0,0
79,-7.195,4.03,-7.445,4.68,14,0.754,1.838,0.0,0
80,-7.445,4.68,-7.695,6.08,29,1.504,0.99,0.0,0
81,-7.695,6.08,-8.495,7.03,20,1.281,0.802,0.0,0
82,-8.495,7.03,-8.495,5.53,31,1.5,0.8,0.0,0
83,-8.495,5.53,-8.495,4.03,31,1.5,0.8,0.0,0
84,-8.495,4.03,-8.495,2.53,31,1.5,0.8,0.0,0
85,-8.495,2.53,-7.845,1.33,25,1.469,0.8,0.0,0
86,-7.845,1.33,-7.495,0.63,15,0.845,1.45,0.0,0
87,-7.495,0.63,-8.495,0.68,21,1.021,0.825,0.0,0
88,-8.495,0.68,-8.595,0.58,3,0.141,0.762,0.0,0
89,-8.595,0.58,-11.945,-0.02,68,3.599,0.412,0.67477,66
90,-11.945,-0.02,-12.445,-0.52,11,0.707,0.757,0.0,0
91,-12.445,-0.52,-13.895,-0.52,30,1.45,1.312,0.0,0
92,-13.895,-0.52,-13.945,-0.47,2,0.071,1.553,0.0,0
