object_index,object_name,type,kind,samples,inside,near_occupied,coverage_inside,mean_distance_to_occupied_m,max_distance_to_occupied_m,occupied_samples,free_samples,unknown_samples,outside_samples
2,,PicketFence,fence,29,29,0,0.0,3.289429139949253,4.663153439465616,0,0,29,0
1,,PicketFence,fence,29,29,29,1.0,0.06197952088647021,0.3535533905932738,7,11,11,0
3,,PicketFence,fence,22,22,22,1.0,0.02727272727272728,0.2,13,9,0,0
4,,PicketFence,fence,22,22,22,1.0,0.01818181818181818,0.05,14,4,4,0
8,,StreetLight,obstacle,1,1,0,0.0,0.8276472678623424,0.8276472678623424,0,0,1,0
17,,TrafficCone,obstacle,1,1,0,0.0,0.6670832032063168,0.6670832032063168,0,1,0,0
19,,TrafficCone,obstacle,1,1,0,0.0,0.5408326913195984,0.5408326913195984,0,1,0,0
20,,TrafficCone,obstacle,1,1,0,0.0,0.75,0.75,0,0,1,0
5,,StreetLight,obstacle,1,1,1,1.0,0.05,0.05,0,1,0,0
6,,StreetLight,obstacle,1,1,1,1.0,0.1,0.1,0,1,0,0
7,,StreetLight,obstacle,1,1,1,1.0,0.0,0.0,1,0,0,0
9,,Bench,obstacle,1,1,1,1.0,0.1118033988749895,0.1118033988749895,0,1,0,0
10,,Bench,obstacle,1,1,1,1.0,0.07071067811865477,0.07071067811865477,0,1,0,0
11,,StoneBench,obstacle,1,1,1,1.0,0.5,0.5,0,1,0,0
12,,PublicBin,obstacle,1,1,1,1.0,0.15000000000000002,0.15000000000000002,0,0,1,0
13,,Cypress,obstacle,1,1,1,1.0,0.35000000000000003,0.35000000000000003,0,0,1,0
14,,Cypress,obstacle,1,1,1,1.0,0.3535533905932738,0.3535533905932738,0,0,1,0
15,,Cypress,obstacle,1,1,1,1.0,0.35000000000000003,0.35000000000000003,0,0,1,0
16,,PalmTree,obstacle,1,1,1,1.0,0.223606797749979,0.223606797749979,0,0,1,0
18,,TrafficCone,obstacle,1,1,1,1.0,0.3905124837953327,0.3905124837953327,0,1,0,0
