idx,wall_time,tf_stamp,gps_rel_x,gps_rel_y,estimate_x,estimate_y,direct_error_m,aligned_error_m,heading_error_deg,event
0,1782014966.1837752,19.48,0.0,0.0,0.0,0.0,0.0,0.04606038063937553,,
1,1782014966.7059658,19.96,0.0,0.0,0.0,0.0,0.0,0.04606038063937553,,
2,1782014967.2159595,20.48,0.0,0.0,0.0,0.0,0.0,0.04606038063937553,,
3,1782014967.7175632,20.96,0.04797568867897439,-0.00010153263490053632,0.03968509443052136,0.0003151931015145874,0.008301060976277265,0.040832010633830726,,
4,1782014968.2513661,21.48,0.15315459365368866,0.0021532065783507193,0.1490196028605134,0.004322168919354367,0.004669319703804413,0.0426647759551854,,
5,1782014968.758124,21.96,0.25888241883754404,0.010159726167502825,0.2502704100011141,0.013256531745624776,0.009151879642315803,0.0391412226953649,,
6,1782014969.269397,22.48,0.3644979035839171,0.0234811210398016,0.3595972319116331,0.028223342530961083,0.006819475603793994,0.040859052376239734,,
7,1782014969.7955287,22.96,0.47028383900840254,0.04044452040885105,0.4512945864517991,0.044529153316936236,0.019423592320996722,0.03161468108456285,,
8,1782014970.2985349,23.48,0.5720758003155666,0.06164470038515546,0.5568709984399971,0.06705437506245002,0.01613848134706248,0.03252242551246615,,
9,1782014970.817611,23.96,0.672210037608103,0.08948812738409817,0.6526644427013615,0.09418983646660664,0.020103142753186247,0.028300020123998137,,
10,1782014971.3327353,24.48,0.7707816658201097,0.12414786461867955,0.7549912269388208,0.13049701096908828,0.017019095729286757,0.0299863318344723,,
11,1782014971.8376472,24.96,0.8653792146706678,0.16431496817399083,0.8459114945962535,0.14923743481390062,0.024623649955284613,0.01331847660841307,,
12,1782014972.3468077,25.48,0.9568759998991965,0.21263888529639452,0.9404883526812456,0.19907068460359328,0.02127559755635887,0.01740200239137369,,
13,1782014972.8885925,25.96,1.0415115827718822,0.2654521369196985,1.0213312648561055,0.2506491673232866,0.025027447733520718,0.014824868476645454,0.5608048785319835,
14,1782014973.8834243,26.96,1.1664207259748025,0.3858749072527443,1.174495490577128,0.36234474822432494,0.024877102067678142,0.04750086377627153,1.244831821225494,
15,1782014974.426579,27.48,1.217260727149288,0.46192182358829026,1.227623187106189,0.4442072009053942,0.020522875850030205,0.05032876989806161,1.2534950309289365,
16,1782014974.9319654,27.96,1.2422088566874763,0.5249534449569833,1.2358731885249619,0.4736072694998428,0.051735581809243765,0.05466333103875237,,
17,1782014975.9382913,28.96,1.247923097236658,0.5508610567515868,1.2403265912560217,0.505716571429674,0.04577915964818758,0.04960326370272176,,
18,1782014976.9588962,29.96,1.2369363261815423,0.5530298235275204,1.2403320046938409,0.505715510839227,0.047436007607349215,0.05889729963575641,,
19,1782014977.9634628,30.96,1.2249668309278192,0.56171288657392,1.2403411541048794,0.505708532597889,0.05807630736733596,0.0736316571369697,,
20,1782014978.4809732,31.48,1.2202669822545005,0.5694584319118166,1.2403450824661562,0.5057020674033381,0.06684313071249173,0.08230262407614511,,
21,1782014979.0170376,31.96,1.218069839877998,0.5782481788200338,1.2403466508562098,0.5056940546406342,0.07589701735113641,0.09002180366157057,,
22,1782014980.0059617,32.96,1.35006685676818,0.577239289306311,1.365186192326574,0.48684325860479083,0.09165171397370313,0.10144299898501782,,
23,1782014980.5257037,33.48,1.3981124625808192,0.5609443873081901,1.3824328812264015,0.5315424821911483,0.033321483999986114,0.035247266330704775,,
24,1782014981.034956,33.96,1.4621521685129863,0.5048802385770959,1.4402204670058307,0.4777869983190058,0.03485746976878219,0.029510846528540368,,
25,1782014982.075601,34.96,1.5795700368983745,0.3435171858980919,1.5538412956250738,0.33616229085604293,0.026759346191340398,0.012552084124953282,,
26,1782014983.0636578,35.96,1.6683727596230682,0.15489665169578526,1.6590847127064543,0.1759904692416459,0.023048144267668914,0.031040609242631172,,
27,1782014983.5817895,36.48,1.7047777661787507,0.055192145927913216,1.6951257698489786,0.07202305882800397,0.019402078811312343,0.02586710760392667,,
28,1782014984.0950315,36.96,1.7366981216739177,-0.04563606751591287,1.7240894094878711,-0.02508046453080024,0.02411456897960504,0.024128993368463827,,
29,1782014984.6050687,37.48,1.7653896441213135,-0.14998440175525474,1.7626747210305709,-0.13381237127858192,0.016398334583947294,0.02680771358686033,3.1619207495439516,
30,1782014985.133763,37.96,1.7903851426995558,-0.25285046948273404,1.7848496585791267,-0.23279371627317053,0.020806607934905193,0.02465263791724759,2.951300545454137,
31,1782014986.1406322,38.96,1.8312926262230533,-0.4665033903557667,1.8232946585190124,-0.44622456001025756,0.021799046941938183,0.01937484389775713,1.8801988994567647,
32,1782014986.658864,39.48,1.8489829577775012,-0.5738214504171744,1.8403989027811474,-0.5578659926743367,0.018118019537573814,0.013812355756517118,1.7410477944865952,
33,1782014987.6599417,40.48,1.8814350571007523,-0.7896098876364857,1.890702115081778,-0.7636587266861576,0.027556144837286675,0.029456546696875502,2.2552514311402407,
34,1782014988.184351,40.96,1.895982259602583,-0.8980516368591953,1.9038315544900828,-0.8679058261580211,0.031150944336600084,0.02988178830771691,0.9729231813474963,
35,1782014988.694654,41.48,1.909626651751573,-1.0068541279351528,1.9171804645100299,-0.9807902841474045,0.027136396963892816,0.024742892705081145,0.8445434755165045,
36,1782014989.2048986,41.96,1.9229032479445962,-1.1158401488420369,1.9290397620745683,-1.0953979106103438,0.02134342778441744,0.017713805070571045,0.7394250060880174,
37,1782014989.728073,42.48,1.9359875141454737,-1.2249550937216824,1.9416658296965679,-1.208678406157241,0.017238730393165206,0.012444545340995964,0.150636075040846,
38,1782014990.2368674,42.96,1.9488289895310302,-1.3338250554014968,1.953034211909493,-1.3131320778158744,0.021115946974061914,0.014196464893119622,0.17731593928021538,
39,1782014990.7443352,43.48,1.9612761814699624,-1.442853909083139,1.9748980026489362,-1.4267032724783737,0.021128111012845476,0.01425047937133277,0.8193222072013416,
40,1782014991.266184,43.96,1.9728070718195028,-1.5518082665292816,1.984800910206596,-1.5310979164944742,0.023932629563421494,0.014879349704154074,0.7920147053894312,
41,1782014992.2938178,44.96,1.9950900869793102,-1.7702355833288346,2.0048157406874556,-1.7494420086217055,0.022955633059267157,0.012525964909082513,0.4663486333680372,
42,1782014992.8118505,45.48,2.0057938905899277,-1.8797693545720868,2.0150280720968627,-1.8632776820189154,0.01890093573620226,0.008398336018436104,0.4789671297329693,
43,1782014993.3172588,45.98,2.0161538798952066,-1.9889332476467203,2.0243995769024794,-1.9722982374058369,0.018566504378855084,0.009914577530504454,0.49500730373084756,
44,1782014994.3189838,46.96,2.036445756701035,-2.2076896589531723,2.052421260985038,-2.186760845191691,0.026329298938463447,0.01205723325054897,0.015609328734485608,
