lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec
0,0,1.705,-1.12,,reached,succeeded,4,2.783,3.535
0,1,-0.495,0.13,,reached,succeeded,4,4.101,7.636
0,2,-0.495,0.68,,reached,succeeded,4,1.101,8.739
0,3,0.105,0.68,,reached,succeeded,4,1.701,10.441
0,4,-0.695,4.38,,reached,succeeded,4,7.401,17.842
0,5,-0.995,4.68,,reached,succeeded,4,0.901,18.745
0,6,1.105,6.88,,missed,action_status_6,6,2.451,21.196
0,7,2.255,10.43,,missed,action_status_6,6,0.151,21.348
0,8,3.055,11.23,,missed,action_status_6,6,0.151,21.5
0,9,3.305,13.53,,missed,action_status_6,6,0.151,21.652
0,10,3.555,13.53,,missed,action_status_6,6,0.151,21.803
0,11,3.555,11.38,,missed,action_status_6,6,0.151,21.956
0,12,3.305,9.63,,missed,action_status_6,6,0.151,22.108
0,13,3.805,3.93,,missed,action_status_6,6,0.151,22.26
0,14,6.905,5.43,,missed,action_status_6,6,0.151,22.412
0,15,2.705,3.53,,missed,action_status_6,6,0.151,22.563
0,16,5.605,0.88,,missed,action_status_6,6,0.151,22.715
0,17,7.505,0.68,,missed,action_status_6,6,0.151,22.867
0,18,11.505,0.68,,missed,action_status_6,6,0.151,23.019
0,19,12.605,0.68,,missed,action_status_6,6,0.151,23.171
0,20,12.555,0.53,,missed,action_status_6,6,0.151,23.322
0,21,11.505,0.43,,missed,action_status_6,6,0.151,23.474
0,22,7.505,0.43,,missed,action_status_6,6,0.151,23.626
0,23,5.305,-0.22,,missed,action_status_6,6,0.151,23.778
0,24,3.655,-3.52,,missed,action_status_6,6,0.151,23.93
0,25,3.555,-3.97,,missed,action_status_6,6,0.151,24.081
0,26,1.205,-6.97,,missed,action_status_6,6,0.151,24.233
0,27,0.855,-7.32,,missed,action_status_6,6,0.151,24.385
0,28,2.755,-10.52,,missed,action_status_6,6,0.151,24.537
0,29,3.555,-11.32,,missed,action_status_6,6,0.151,24.689
0,30,3.555,-12.62,,missed,action_status_6,6,0.151,24.841
0,31,1.155,-11.22,,missed,action_status_6,6,0.151,24.993
0,32,0.955,-11.37,,missed,action_status_6,6,0.153,25.147
0,33,-0.495,-12.47,,missed,action_status_6,6,0.151,25.299
0,34,-0.495,-11.32,,missed,action_status_6,6,0.151,25.451
0,35,-0.495,-7.32,,missed,action_status_6,6,0.152,25.604
0,36,-0.495,-3.82,,missed,action_status_6,6,0.151,25.757
0,37,-2.845,-1.92,,missed,action_status_6,6,0.151,25.909
0,38,-4.495,-3.47,,missed,action_status_6,6,0.151,26.061
0,39,-7.145,-8.57,,missed,action_status_6,6,0.151,26.213
0,40,-7.445,-8.87,,missed,action_status_6,6,0.151,26.366
0,41,-5.195,-4.07,,missed,action_status_6,6,0.151,26.518
0,42,-4.095,0.03,,missed,action_status_6,6,0.151,26.67
0,43,-6.295,3.13,,missed,action_status_6,6,0.151,26.823
0,44,-7.195,4.03,,missed,action_status_6,6,0.151,26.976
0,45,-7.445,4.68,,missed,action_status_6,6,0.151,27.128
0,46,-8.495,7.03,,missed,action_status_6,6,0.153,27.282
0,47,-8.495,3.03,,missed,action_status_6,6,0.151,27.435
0,48,-7.495,0.63,,missed,action_status_6,6,0.151,27.587
0,49,-8.495,0.68,,missed,action_status_6,6,0.151,27.739
0,50,-12.145,-0.22,,missed,action_status_6,6,0.151,27.891
0,51,-12.445,-0.52,,missed,action_status_6,6,0.151,28.044
0,52,-13.945,-0.47,,missed,action_status_6,6,0.151,28.196
