wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,tf_error,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count
0.504,1782022178.592,,,missing_tf,"""map"" passed to lookupTransform argument target_frame does not exist. ",,,,,,,,,,,,,,,,,,,,,,,,,,
1.005,1782022179.092,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
1.504,1782022179.592,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
2.005,1782022180.092,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
2.504,1782022180.592,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
3.004,1782022181.092,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
3.504,1782022181.592,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
4.004,1782022182.092,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
4.504,1782022182.592,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
5.004,1782022183.092,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,0.007,-0.0,-0.5,0.007,-0.0,0,ok,0,ok,0,ok,35,31,31,0,0,ok,35,35,35,0,0,ok,3.804,701
