lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec
0,0,1.705,-1.12,,reached,succeeded,4,3.002,3.753
0,1,-0.495,0.13,,reached,succeeded,4,4.001,7.755
0,2,-0.495,0.68,,reached,succeeded,4,1.101,8.857
0,3,0.105,0.68,,reached,succeeded,4,1.651,10.508
0,4,-0.695,4.38,,reached,succeeded,4,6.051,16.56
0,5,-0.995,4.68,,reached,succeeded,4,1.001,17.562
0,6,1.105,6.88,,reached,succeeded,4,6.801,24.364
0,7,2.255,10.43,,reached,succeeded,4,5.252,29.616
0,8,3.055,11.23,,reached,succeeded,4,2.101,31.719
0,9,3.305,13.53,,reached,succeeded,4,3.401,35.12
0,10,3.555,13.53,,reached,succeeded,4,0.301,35.422
0,11,3.555,11.38,,reached,succeeded,4,4.501,39.924
0,12,3.305,9.63,,reached,succeeded,4,3.301,43.226
0,13,3.805,3.93,,reached,succeeded,4,13.051,56.277
0,14,6.905,5.43,,missed,goal_timeout,,14.254,70.532
0,15,2.705,3.53,,missed,action_status_6,6,12.596,83.129
0,16,5.605,0.88,,missed,goal_timeout,,14.134,97.264
0,17,7.505,0.68,,missed,action_status_6,6,10.866,108.131
0,18,11.505,0.68,,missed,goal_timeout,,14.161,122.292
0,19,12.605,0.68,,missed,action_status_6,6,10.84,133.133
0,20,12.555,0.53,,missed,goal_timeout,,13.638,146.772
0,21,11.505,0.43,,missed,mission_timeout,,3.272,150.045
0,22,7.505,0.43,,missed,mission_timeout,,,150.045
0,23,5.305,-0.22,,missed,mission_timeout,,,150.045
0,24,3.655,-3.52,,missed,mission_timeout,,,150.045
0,25,3.555,-3.97,,missed,mission_timeout,,,150.045
0,26,1.205,-6.97,,missed,mission_timeout,,,150.045
0,27,0.855,-7.32,,missed,mission_timeout,,,150.045
0,28,2.755,-10.52,,missed,mission_timeout,,,150.045
0,29,3.555,-11.32,,missed,mission_timeout,,,150.045
0,30,3.555,-12.62,,missed,mission_timeout,,,150.045
0,31,1.155,-11.22,,missed,mission_timeout,,,150.045
0,32,0.955,-11.37,,missed,mission_timeout,,,150.045
0,33,-0.495,-12.47,,missed,mission_timeout,,,150.045
0,34,-0.495,-11.32,,missed,mission_timeout,,,150.045
0,35,-0.495,-7.32,,missed,mission_timeout,,,150.045
0,36,-0.495,-3.82,,missed,mission_timeout,,,150.045
0,37,-2.845,-1.92,,missed,mission_timeout,,,150.045
0,38,-4.495,-3.47,,missed,mission_timeout,,,150.045
0,39,-7.145,-8.57,,missed,mission_timeout,,,150.045
0,40,-7.445,-8.87,,missed,mission_timeout,,,150.045
0,41,-5.195,-4.07,,missed,mission_timeout,,,150.045
0,42,-4.095,0.03,,missed,mission_timeout,,,150.045
0,43,-6.295,3.13,,missed,mission_timeout,,,150.045
0,44,-7.195,4.03,,missed,mission_timeout,,,150.045
0,45,-7.445,4.68,,missed,mission_timeout,,,150.045
0,46,-8.495,7.03,,missed,mission_timeout,,,150.045
0,47,-8.495,3.03,,missed,mission_timeout,,,150.045
0,48,-7.495,0.63,,missed,mission_timeout,,,150.045
0,49,-8.495,0.68,,missed,mission_timeout,,,150.045
0,50,-12.145,-0.22,,missed,mission_timeout,,,150.045
0,51,-12.445,-0.52,,missed,mission_timeout,,,150.045
0,52,-13.945,-0.47,,missed,mission_timeout,,,150.045
