wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count
0.504,1782023083.36,,,local_missing,local_missing,,,,0.0,0.0,,,,,,missing,0,0,0,0,0,missing_costmap,0,0,0,0,0,missing_costmap,,0
1.005,1782023083.861,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
1.505,1782023084.361,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
2.005,1782023084.86,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
2.504,1782023085.36,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
3.004,1782023085.86,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
3.505,1782023086.361,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
4.005,1782023086.86,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
4.504,1782023087.36,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
5.005,1782023087.86,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
5.504,1782023088.36,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701
6.005,1782023088.86,0,"heading to waypoint #0 (1.7, -1.1)",ok,,0.105,-0.004,-3.1,0.105,-0.004,0,ok,0,ok,0,ok,35,31,31,0,0,ok,35,35,35,0,0,ok,4.413,704
6.505,1782023089.361,0,"heading to waypoint #0 (1.7, -1.1)",ok,,0.505,-0.07,-15.7,0.509,-0.071,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,4.397,707
7.004,1782023089.86,0,"heading to waypoint #0 (1.7, -1.1)",ok,,0.902,-0.243,-30.6,0.876,-0.244,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,4.103,717
7.504,1782023090.36,0,"heading to waypoint #0 (1.7, -1.1)",ok,,1.245,-0.485,-39.2,1.205,-0.475,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,3.754,717
8.005,1782023090.86,0,"heading to waypoint #0 (1.7, -1.1)",ok,,1.556,-0.749,-44.2,1.527,-0.748,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,3.326,715
8.505,1782023091.36,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,1.68,-0.878,-65.6,1.676,-0.912,0,ok,0,ok,0,ok,44,31,31,0,0,ok,44,44,44,0,0,ok,5.063,719
9.005,1782023091.861,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,1.695,-0.888,-112.8,1.676,-0.912,0,ok,0,ok,0,ok,44,31,31,0,0,ok,44,44,44,0,0,ok,3.325,719
9.505,1782023092.36,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,1.554,-0.916,-171.0,1.52,-0.95,0,ok,0,ok,0,ok,44,30,30,0,0,ok,44,44,44,0,0,ok,3.188,706
10.005,1782023092.86,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,1.123,-0.875,170.2,1.085,-0.924,0,ok,0,ok,0,ok,39,34,34,0,0,ok,39,39,39,0,0,ok,5.325,718
10.505,1782023093.36,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,0.705,-0.762,156.5,0.658,-0.799,0,ok,0,ok,0,ok,39,39,39,0,0,ok,39,39,39,0,0,ok,4.949,711
11.005,1782023093.861,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,0.291,-0.57,148.4,0.257,-0.609,0,ok,0,ok,0,ok,21,21,21,0,0,ok,21,21,21,0,0,ok,4.493,696
11.505,1782023094.36,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,-0.086,-0.297,140.2,-0.095,-0.339,0,ok,0,ok,0,ok,21,21,21,0,0,ok,21,21,21,0,0,ok,4.055,696
12.004,1782023094.86,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,-0.379,-0.011,120.3,-0.394,-0.06,0,ok,0,ok,0,ok,5,5,5,0,0,ok,5,5,5,0,0,ok,3.63,692
12.505,1782023095.361,2,"heading to waypoint #2 (-0.5, 0.7)",ok,,-0.389,0.051,116.4,-0.426,0.003,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,3.588,694
13.004,1782023095.86,2,"heading to waypoint #2 (-0.5, 0.7)",ok,,-0.515,0.426,102.3,-0.557,0.381,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,3.415,700
13.504,1782023096.36,3,"heading to waypoint #3 (0.1, 0.7)",ok,,-0.496,0.509,83.6,-0.567,0.483,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,14,0,0,ok,4.917,699
14.005,1782023096.86,3,"heading to waypoint #3 (0.1, 0.7)",ok,,-0.315,0.716,42.8,-0.38,0.723,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,14,0,0,ok,2.958,700
14.505,1782023097.361,3,"heading to waypoint #3 (0.1, 0.7)",ok,,-0.004,0.886,2.3,-0.065,0.888,0,ok,0,ok,0,ok,5,5,5,0,0,ok,5,5,5,0,0,ok,2.623,702
15.005,1782023097.86,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,0.03,0.87,-23.0,-0.009,0.882,0,ok,0,ok,0,ok,71,31,31,0,0,ok,71,71,71,0,0,ok,4.558,703
15.505,1782023098.361,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,0.016,0.871,34.0,-0.005,0.885,0,ok,0,ok,0,ok,71,31,31,0,0,ok,71,71,71,0,0,ok,2.551,702
16.005,1782023098.86,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,0.127,1.134,69.1,0.121,1.167,0,ok,0,ok,0,ok,67,30,30,0,0,ok,67,67,67,0,0,ok,4.275,698
16.505,1782023099.36,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,0.243,1.525,86.1,0.19,1.556,0,ok,0,ok,0,ok,67,37,37,0,0,ok,67,67,67,0,0,ok,4.296,714
17.005,1782023099.861,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,0.228,1.921,104.9,0.131,1.926,0,ok,0,ok,0,ok,67,46,46,0,0,ok,67,67,67,0,0,ok,4.245,708
17.505,1782023100.36,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,0.111,2.252,109.5,0.01,2.258,0,ok,0,ok,0,ok,49,33,33,0,0,ok,49,49,49,0,0,ok,3.657,704
18.005,1782023100.861,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,-0.027,2.592,110.7,-0.127,2.608,0,ok,0,ok,0,ok,49,41,41,0,0,ok,49,49,49,0,0,ok,3.042,704
18.505,1782023101.361,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,-0.205,2.962,122.0,-0.325,2.967,0,ok,0,ok,0,ok,33,31,31,0,0,ok,33,33,33,0,0,ok,2.629,704
19.005,1782023101.86,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,-0.413,3.325,114.0,-0.548,3.309,0,ok,0,ok,0,ok,33,33,33,0,0,ok,33,33,33,0,0,ok,2.252,706
19.504,1782023102.36,4,"heading to waypoint #4 (-0.7, 4.4)",ok,,-0.583,3.688,109.3,-0.699,3.673,0,ok,0,ok,0,ok,16,16,16,0,0,ok,16,16,16,0,0,ok,2.398,706
