edge,from_x,from_y,to_x,to_y,path_cells,geodesic_m,min_clearance_m,shortfall_integral_m2,low_clearance_cells
0,1.705,-1.12,1.255,-4.92,77,3.986,2.55,0.0,0
1,1.255,-4.92,-0.495,-7.32,49,3.125,1.787,0.0,0
2,-0.495,-7.32,-0.495,-11.32,81,4.0,1.787,0.0,0
3,-0.495,-11.32,-0.495,-12.47,24,1.15,2.957,0.0,0
4,-0.495,-12.47,0.955,-11.37,30,1.906,3.289,0.0,0
5,0.955,-11.37,1.155,-11.22,5,0.262,4.353,0.0,0
6,1.155,-11.22,3.555,-12.62,49,2.98,3.1,0.0,0
7,3.555,-12.62,3.555,-11.32,27,1.3,2.482,0.0,0
8,3.555,-11.32,1.655,-8.12,65,3.987,1.956,0.0,0
9,1.655,-8.12,0.855,-7.32,17,1.131,2.594,0.0,0
10,0.855,-7.32,3.205,-4.32,61,3.973,1.312,0.0,0
11,3.205,-4.32,3.555,-3.97,8,0.495,1.172,0.0,0
12,3.555,-3.97,4.705,-0.32,74,4.126,0.707,0.01872,11
13,4.705,-0.32,7.505,0.43,57,3.111,0.762,0.0,0
14,7.505,0.43,11.505,0.43,81,4.0,2.072,0.0,0
15,11.505,0.43,12.555,0.53,22,1.091,2.943,0.0,0
16,12.555,0.53,12.605,0.68,4,0.171,3.182,0.0,0
17,12.605,0.68,11.505,0.68,23,1.1,2.706,0.0,0
18,11.505,0.68,7.505,0.68,81,4.0,1.834,0.0,0
19,7.505,0.68,3.555,0.53,80,4.012,0.7,0.01789,11
20,3.555,0.53,1.905,3.23,73,4.325,0.7,0.04926,30
21,1.905,3.23,5.005,4.48,63,3.618,0.757,0.0,0
22,5.005,4.48,6.905,5.43,39,2.294,0.424,0.24339,24
23,6.905,5.43,3.605,3.68,67,4.025,0.424,0.24364,24
24,3.605,3.68,1.605,5.83,75,4.011,0.7,0.03447,21
25,1.605,5.83,2.455,9.48,74,4.002,0.75,0.0,0
26,2.455,9.48,3.555,11.38,39,2.356,0.791,0.0,0
27,3.555,11.38,3.555,13.53,44,2.15,0.7,0.01789,11
28,3.555,13.53,3.305,13.53,6,0.25,1.282,0.0,0
29,3.305,13.53,3.055,11.23,47,2.404,1.2,0.0,0
30,3.055,11.23,1.905,7.68,72,4.026,0.808,0.0,0
31,1.905,7.68,1.105,6.88,17,1.131,1.051,0.0,0
32,1.105,6.88,-0.995,4.68,63,3.597,0.707,0.01444,9
33,-0.995,4.68,-0.195,0.98,75,4.031,0.85,0.0,0
34,-0.195,0.98,0.105,0.68,7,0.424,2.04,0.0,0
35,0.105,0.68,-0.495,0.68,13,0.6,2.018,0.0,0
36,-0.495,0.68,-0.495,0.13,12,0.55,2.018,0.0,0
37,-0.495,0.13,-4.495,0.13,81,4.0,0.8,0.0,0
38,-4.495,0.13,-6.645,3.13,65,4.008,0.707,0.01444,9
39,-6.645,3.13,-7.195,4.03,19,1.128,1.061,0.0,0
40,-7.195,4.03,-7.445,4.68,14,0.754,1.838,0.0,0
41,-7.445,4.68,-8.495,7.03,48,2.785,0.802,0.0,0
42,-8.495,7.03,-8.495,3.03,81,4.0,0.8,0.0,0
43,-8.495,3.03,-8.495,0.68,48,2.35,0.8,0.0,0
44,-8.495,0.68,-12.145,-0.22,74,4.023,0.707,0.01444,9
45,-12.145,-0.22,-12.445,-0.52,7,0.424,0.955,0.0,0
46,-12.445,-0.52,-13.945,-0.47,31,1.521,1.312,0.0,0
47,-13.945,-0.47,-9.945,-0.47,81,4.0,1.055,0.0,0
48,-9.945,-0.47,-7.495,0.63,50,2.906,1.02,0.0,0
49,-7.495,0.63,-4.095,0.03,69,3.649,0.762,0.0,0
50,-4.095,0.03,-4.395,-3.37,69,3.98,0.7,0.03233,20
51,-4.395,-3.37,-4.495,-3.47,3,0.141,1.366,0.0,0
52,-4.495,-3.47,-5.545,-4.07,22,1.299,0.765,0.0,0
53,-5.545,-4.07,-7.145,-8.57,100,6.213,0.403,0.83588,98
54,-7.145,-8.57,-7.445,-8.87,7,0.424,0.75,0.0,0
