lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec
0,0,1.705,-1.12,,reached,succeeded,4,2.752,3.253
0,1,1.255,-4.92,,reached,succeeded,4,5.301,8.555
0,2,-0.495,-7.32,,reached,succeeded,4,4.401,12.957
0,3,-0.495,-11.32,,reached,succeeded,4,5.801,18.759
0,4,-0.495,-12.47,,reached,succeeded,4,2.301,21.061
0,5,0.955,-11.37,,reached,succeeded,4,2.651,23.713
0,6,1.155,-11.22,,reached,succeeded,4,0.302,24.015
0,7,3.555,-12.62,,reached,succeeded,4,14.001,38.018
0,8,3.555,-11.32,,reached,succeeded,4,1.552,39.57
0,9,1.655,-8.12,,reached,succeeded,4,2.651,42.223
0,10,0.855,-7.32,,reached,succeeded,4,2.202,44.425
0,11,3.205,-4.32,,reached,succeeded,4,5.501,49.928
0,12,3.555,-3.97,,reached,succeeded,4,1.201,51.129
0,13,4.705,-0.32,,reached,succeeded,4,6.401,57.532
0,14,7.505,0.43,,missed,goal_timeout,,13.644,71.176
0,15,11.505,0.43,,missed,goal_timeout,,15.09,86.267
0,16,12.555,0.53,,missed,action_status_6,6,12.016,98.283
0,17,12.605,0.68,,missed,goal_timeout,,13.604,111.888
0,18,11.505,0.68,,missed,action_status_6,6,7.196,119.085
0,19,7.505,0.68,,missed,goal_timeout,,14.719,133.804
0,20,3.555,0.53,,missed,goal_timeout,,13.06,146.865
0,21,1.905,3.23,,missed,mission_timeout,,3.171,150.037
0,22,5.005,4.48,,missed,mission_timeout,,,150.037
0,23,6.905,5.43,,missed,mission_timeout,,,150.037
0,24,3.605,3.68,,missed,mission_timeout,,,150.037
0,25,1.605,5.88,,missed,mission_timeout,,,150.037
0,26,2.455,9.53,,missed,mission_timeout,,,150.037
0,27,3.555,11.38,,missed,mission_timeout,,,150.037
0,28,3.555,13.53,,missed,mission_timeout,,,150.037
0,29,3.305,13.53,,missed,mission_timeout,,,150.037
0,30,3.055,11.23,,missed,mission_timeout,,,150.037
0,31,1.905,7.68,,missed,mission_timeout,,,150.037
0,32,1.105,6.88,,missed,mission_timeout,,,150.037
0,33,-0.995,4.68,,missed,mission_timeout,,,150.037
0,34,-0.195,0.98,,missed,mission_timeout,,,150.037
0,35,0.105,0.68,,missed,mission_timeout,,,150.037
0,36,-0.495,0.68,,missed,mission_timeout,,,150.037
0,37,-0.495,0.13,,missed,mission_timeout,,,150.037
0,38,-4.495,0.13,,missed,mission_timeout,,,150.037
0,39,-6.645,3.13,,missed,mission_timeout,,,150.037
0,40,-7.195,4.03,,missed,mission_timeout,,,150.037
0,41,-7.445,4.68,,missed,mission_timeout,,,150.037
0,42,-8.495,7.03,,missed,mission_timeout,,,150.037
0,43,-8.495,3.03,,missed,mission_timeout,,,150.037
0,44,-8.495,0.68,,missed,mission_timeout,,,150.037
0,45,-12.145,-0.22,,missed,mission_timeout,,,150.037
0,46,-12.445,-0.52,,missed,mission_timeout,,,150.037
0,47,-13.945,-0.47,,missed,mission_timeout,,,150.037
0,48,-9.945,-0.47,,missed,mission_timeout,,,150.037
0,49,-7.495,0.63,,missed,mission_timeout,,,150.037
0,50,-4.095,0.03,,missed,mission_timeout,,,150.037
0,51,-4.395,-3.37,,missed,mission_timeout,,,150.037
0,52,-4.495,-3.47,,missed,mission_timeout,,,150.037
0,53,-5.545,-4.07,,missed,mission_timeout,,,150.037
0,54,-7.145,-8.57,,missed,mission_timeout,,,150.037
0,55,-7.445,-8.87,,missed,mission_timeout,,,150.037
