lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec
0,0,1.705,-1.12,,reached,succeeded,4,2.652,3.403
0,1,-0.495,0.13,,reached,succeeded,4,3.851,7.255
0,2,-0.495,0.68,,reached,succeeded,4,1.101,8.357
0,3,0.105,0.68,,reached,succeeded,4,1.551,9.908
0,4,-0.695,4.38,,reached,succeeded,4,5.601,15.511
0,5,-0.995,4.68,,reached,succeeded,4,0.901,16.412
0,6,1.105,6.88,,reached,succeeded,4,7.802,24.215
0,7,2.255,10.43,,missed,goal_timeout,,12.739,36.954
0,8,3.055,11.23,,reached,succeeded,4,12.762,49.717
0,9,3.305,13.53,,reached,succeeded,4,3.201,52.919
0,10,3.555,13.53,,reached,succeeded,4,0.601,53.521
0,11,3.555,11.38,,reached,succeeded,4,3.601,57.123
0,12,3.305,9.63,,reached,succeeded,4,2.751,59.875
0,13,3.805,3.93,,reached,succeeded,4,12.201,72.078
0,14,6.905,5.43,,reached,succeeded,4,5.801,77.879
0,15,2.705,3.53,,reached,succeeded,4,14.151,92.031
0,16,5.605,0.88,,reached,succeeded,4,11.602,103.634
0,17,7.505,0.68,,reached,succeeded,4,3.303,106.938
0,18,11.505,0.68,,missed,goal_timeout,,14.884,121.823
0,19,12.605,0.68,,missed,goal_timeout,,13.689,135.513
0,20,12.555,0.53,,missed,action_status_6,6,0.576,136.09
0,21,11.505,0.43,,missed,goal_timeout,,12.716,148.807
0,22,7.505,0.43,,missed,mission_timeout,,1.311,150.118
0,23,5.305,-0.22,,missed,mission_timeout,,,150.118
0,24,3.655,-3.52,,missed,mission_timeout,,,150.118
0,25,3.555,-3.97,,missed,mission_timeout,,,150.118
0,26,1.205,-6.97,,missed,mission_timeout,,,150.118
0,27,0.855,-7.32,,missed,mission_timeout,,,150.118
0,28,2.755,-10.52,,missed,mission_timeout,,,150.118
0,29,3.555,-11.32,,missed,mission_timeout,,,150.118
0,30,3.555,-12.62,,missed,mission_timeout,,,150.118
0,31,1.155,-11.22,,missed,mission_timeout,,,150.118
0,32,0.955,-11.37,,missed,mission_timeout,,,150.118
0,33,-0.495,-12.47,,missed,mission_timeout,,,150.118
0,34,-0.495,-11.32,,missed,mission_timeout,,,150.118
0,35,-0.495,-7.32,,missed,mission_timeout,,,150.118
0,36,-0.495,-3.82,,missed,mission_timeout,,,150.118
0,37,-2.845,-1.92,,missed,mission_timeout,,,150.118
0,38,-4.495,-3.47,,missed,mission_timeout,,,150.118
0,39,-7.145,-8.57,,missed,mission_timeout,,,150.118
0,40,-7.445,-8.87,,missed,mission_timeout,,,150.118
0,41,-5.195,-4.07,,missed,mission_timeout,,,150.118
0,42,-4.095,0.03,,missed,mission_timeout,,,150.118
0,43,-6.295,3.13,,missed,mission_timeout,,,150.118
0,44,-7.195,4.03,,missed,mission_timeout,,,150.118
0,45,-7.445,4.68,,missed,mission_timeout,,,150.118
0,46,-8.495,7.03,,missed,mission_timeout,,,150.118
0,47,-8.495,3.03,,missed,mission_timeout,,,150.118
0,48,-7.495,0.63,,missed,mission_timeout,,,150.118
0,49,-8.495,0.68,,missed,mission_timeout,,,150.118
0,50,-12.145,-0.22,,missed,mission_timeout,,,150.118
0,51,-12.445,-0.52,,missed,mission_timeout,,,150.118
0,52,-13.945,-0.47,,missed,mission_timeout,,,150.118
