wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count,path_error_m,path_error_status,edge_from,edge_to,target_x,target_y,edge_start_x,edge_start_y
0.504,1782024750.904,,,local_missing,local_missing,,,,0.0,0.0,,,,,,missing,0,0,0,0,0,missing_costmap,0,0,0,0,0,missing_costmap,,0,,missing_pose,,,,,,
1.004,1782024751.404,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
1.504,1782024751.904,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
2.004,1782024752.404,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
2.504,1782024752.904,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
3.004,1782024753.404,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
3.504,1782024753.904,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
4.004,1782024754.404,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
4.504,1782024754.904,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
5.004,1782024755.404,0,"heading to waypoint #0 (1.7, -1.1)",ok,,0.086,-0.002,-2.4,0.086,-0.002,0,ok,0,ok,0,ok,35,31,31,0,0,ok,35,35,35,0,0,ok,2.805,702,0.025,ok,,0,1.705,-1.12,,
5.504,1782024755.904,0,"heading to waypoint #0 (1.7, -1.1)",ok,,0.451,-0.079,-20.8,0.446,-0.082,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,4.637,706,0.228,ok,,0,1.705,-1.12,,
6.004,1782024756.404,0,"heading to waypoint #0 (1.7, -1.1)",ok,,0.829,-0.273,-33.8,0.8,-0.278,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,4.169,718,0.005,ok,,0,1.705,-1.12,,
6.504,1782024756.904,0,"heading to waypoint #0 (1.7, -1.1)",ok,,1.204,-0.534,-37.5,1.148,-0.536,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,3.639,718,0.089,ok,,0,1.705,-1.12,,
7.004,1782024757.404,0,"heading to waypoint #0 (1.7, -1.1)",ok,,1.53,-0.819,-40.6,1.477,-0.821,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,3.381,719,0.11,ok,,0,1.705,-1.12,,
7.504,1782024757.904,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,1.645,-0.943,-56.1,1.598,-0.941,0,ok,0,ok,0,ok,44,31,31,0,0,ok,44,44,44,0,0,ok,5.093,719,0.035,ok,0,1,-0.495,0.13,1.705,-1.12
8.005,1782024758.404,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,1.656,-0.934,-114.0,1.598,-0.941,0,ok,0,ok,0,ok,44,32,32,0,0,ok,44,44,44,0,0,ok,3.244,719,0.021,ok,0,1,-0.495,0.13,1.705,-1.12
8.504,1782024758.904,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,1.509,-0.931,179.6,1.47,-0.947,0,ok,0,ok,0,ok,44,31,31,0,0,ok,44,44,44,0,0,ok,3.152,706,0.1,ok,0,1,-0.495,0.13,1.705,-1.12
9.004,1782024759.404,1,"heading to waypoint #1 (-0.5, 0.1)",ok,,1.078,-0.881,164.8,1.032,-0.88,0,ok,0,ok,0,ok,40,36,36,0,0,ok,40,40,40,0,0,ok,5.265,715,0.181,ok,0,1,-0.495,0.13,1.705,-1.12
