edge,from_x,from_y,to_x,to_y,path_cells,geodesic_m,min_clearance_m,shortfall_integral_m2,low_clearance_cells
0,1.705,-1.12,0.555,-0.87,24,1.254,2.234,0.0,0
1,0.555,-0.87,-0.345,-0.02,19,1.252,2.192,0.0,0
2,-0.345,-0.02,-0.495,0.13,4,0.212,2.351,0.0,0
3,-0.495,0.13,-0.495,0.68,12,0.55,2.018,0.0,0
4,-0.495,0.68,0.105,0.68,13,0.6,2.018,0.0,0
5,0.105,0.68,0.105,1.93,26,1.25,1.966,0.0,0
6,0.105,1.93,0.105,3.18,26,1.25,1.95,0.0,0
7,0.105,3.18,-0.495,4.18,21,1.249,1.481,0.0,0
8,-0.495,4.18,-0.995,4.68,11,0.707,1.226,0.0,0
9,-0.995,4.68,-0.395,4.88,13,0.683,0.776,0.0,0
10,-0.395,4.88,0.605,6.38,31,1.914,0.35,0.4473,29
11,0.605,6.38,1.105,6.88,11,0.707,0.763,0.0,0
12,1.105,6.88,1.355,7.68,17,0.904,0.763,0.0,0
13,1.355,7.68,2.055,9.93,46,2.54,0.35,0.62006,43
14,2.055,9.93,2.705,10.88,20,1.219,0.75,0.0,0
15,2.705,10.88,3.055,11.23,8,0.495,1.275,0.0,0
16,3.055,11.23,3.305,12.38,24,1.254,0.95,0.0,0
17,3.305,12.38,3.305,13.53,24,1.15,0.951,0.0,0
18,3.305,13.53,3.555,13.53,6,0.25,1.282,0.0,0
19,3.555,13.53,3.555,12.03,31,1.5,0.7,0.01789,11
20,3.555,12.03,3.555,11.38,14,0.65,0.762,0.0,0
21,3.555,11.38,3.305,10.23,24,1.254,0.982,0.0,0
22,3.305,10.23,3.305,9.63,13,0.6,0.762,0.0,0
23,3.305,9.63,3.805,3.93,145,7.904,0.35,2.09628,134
24,3.805,3.93,4.905,4.23,23,1.224,0.75,0.0,0
25,4.905,4.23,6.605,5.13,35,2.073,0.35,0.41851,31
26,6.605,5.13,6.905,5.43,7,0.424,0.781,0.0,0
27,6.905,5.43,6.405,5.23,11,0.583,0.762,0.0,0
28,6.405,5.23,4.405,4.88,41,2.145,0.35,0.57207,39
29,4.405,4.88,2.705,3.53,35,2.259,0.35,0.37466,31
30,2.705,3.53,2.455,3.28,6,0.354,0.752,0.0,0
31,2.455,3.28,5.605,0.88,105,5.925,0.35,1.67857,103
32,5.605,0.88,6.855,0.88,26,1.25,0.781,0.0,0
33,6.855,0.88,7.505,0.68,14,0.733,1.44,0.0,0
34,7.505,0.68,8.755,0.68,26,1.25,1.834,0.0,0
35,8.755,0.68,10.005,0.68,26,1.25,2.246,0.0,0
36,10.005,0.68,11.255,0.68,26,1.25,2.6,0.0,0
37,11.255,0.68,11.505,0.68,6,0.25,2.648,0.0,0
38,11.505,0.68,12.605,0.68,23,1.1,2.706,0.0,0
39,12.605,0.68,12.555,0.53,4,0.171,3.182,0.0,0
40,12.555,0.53,11.505,0.43,22,1.091,2.878,0.0,0
41,11.505,0.43,10.255,0.43,26,1.25,2.68,0.0,0
42,10.255,0.43,9.005,0.43,26,1.25,2.425,0.0,0
43,9.005,0.43,7.755,0.43,26,1.25,2.151,0.0,0
44,7.755,0.43,7.505,0.43,6,0.25,2.072,0.0,0
45,7.505,0.43,6.355,0.18,24,1.254,1.628,0.0,0
46,6.355,0.18,5.305,-0.22,22,1.216,0.776,0.0,0
47,5.305,-0.22,3.705,-3.37,64,3.813,0.35,0.75961,61
48,3.705,-3.37,3.555,-3.97,13,0.662,0.765,0.0,0
49,3.555,-3.97,3.155,-5.02,22,1.216,1.101,0.0,0
50,3.155,-5.02,2.255,-5.92,19,1.273,1.301,0.0,0
51,2.255,-5.92,1.355,-6.82,19,1.273,1.879,0.0,0
52,1.355,-6.82,0.855,-7.32,11,0.707,2.55,0.0,0
53,0.855,-7.32,1.105,-8.47,24,1.254,2.974,0.0,0
54,1.105,-8.47,1.705,-9.47,21,1.249,3.207,0.0,0
55,1.705,-9.47,2.605,-10.37,19,1.273,2.862,0.0,0
56,2.605,-10.37,3.505,-11.27,19,1.273,2.504,0.0,0
57,3.505,-11.27,3.555,-11.32,2,0.071,2.482,0.0,0
58,3.555,-11.32,3.555,-12.57,26,1.25,2.482,0.0,0
59,3.555,-12.57,3.555,-12.62,2,0.05,3.089,0.0,0
60,3.555,-12.62,2.405,-12.37,24,1.254,3.1,0.0,0
61,2.405,-12.37,1.505,-11.57,19,1.231,3.35,0.0,0
62,1.505,-11.57,1.155,-11.22,8,0.495,4.15,0.0,0
63,1.155,-11.22,0.955,-11.37,5,0.262,4.353,0.0,0
64,0.955,-11.37,-0.045,-12.02,21,1.269,3.589,0.0,0
65,-0.045,-12.02,-0.495,-12.47,10,0.636,3.289,0.0,0
66,-0.495,-12.47,-0.495,-11.32,24,1.15,2.957,0.0,0
67,-0.495,-11.32,-0.495,-10.07,26,1.25,2.593,0.0,0
68,-0.495,-10.07,-0.495,-8.82,26,1.25,2.219,0.0,0
69,-0.495,-8.82,-0.495,-7.57,26,1.25,1.855,0.0,0
70,-0.495,-7.57,-0.495,-7.32,6,0.25,1.787,0.0,0
71,-0.495,-7.32,-0.495,-6.07,26,1.25,1.422,0.0,0
72,-0.495,-6.07,-0.495,-4.82,26,1.25,1.059,0.0,0
73,-0.495,-4.82,-0.495,-3.82,21,1.0,0.762,0.0,0
74,-0.495,-3.82,-2.395,-1.92,66,3.561,0.35,0.8382,61
75,-2.395,-1.92,-3.445,-2.42,22,1.257,0.778,0.0,0
76,-3.445,-2.42,-4.345,-3.32,19,1.273,1.273,0.0,0
77,-4.345,-3.32,-4.495,-3.47,4,0.212,1.342,0.0,0
78,-4.495,-3.47,-5.145,-4.07,14,0.899,0.752,0.0,0
79,-5.145,-4.07,-7.145,-8.57,91,5.743,0.35,1.29899,89
80,-7.145,-8.57,-7.445,-8.87,7,0.424,0.75,0.0,0
81,-7.445,-8.87,-7.095,-8.47,9,0.545,0.778,0.0,0
82,-7.095,-8.47,-5.195,-4.07,89,5.601,0.35,1.53678,87
83,-5.195,-4.07,-5.045,-2.87,25,1.262,0.75,0.0,0
84,-5.045,-2.87,-4.095,0.03,59,3.459,0.35,0.84879,57
85,-4.095,0.03,-4.995,0.93,19,1.273,0.762,0.0,0
86,-4.995,0.93,-5.545,1.48,12,0.778,0.75,0.0,0
87,-5.545,1.48,-6.245,3.08,33,1.89,0.35,0.44058,31
88,-6.245,3.08,-7.145,3.98,19,1.273,0.75,0.0,0
89,-7.145,3.98,-7.195,4.03,2,0.071,2.018,0.0,0
90,-7.195,4.03,-7.445,4.68,14,0.754,1.838,0.0,0
91,-7.445,4.68,-7.695,5.83,24,1.254,1.167,0.0,0
92,-7.695,5.83,-8.295,6.83,21,1.249,0.875,0.0,0
93,-8.295,6.83,-8.495,7.03,5,0.283,0.802,0.0,0
94,-8.495,7.03,-8.495,5.78,26,1.25,0.8,0.0,0
95,-8.495,5.78,-8.495,4.53,26,1.25,0.8,0.0,0
96,-8.495,4.53,-8.495,3.28,26,1.25,0.8,0.0,0
97,-8.495,3.28,-8.495,2.03,26,1.25,0.8,0.0,0
98,-8.495,2.03,-7.645,1.13,19,1.252,0.802,0.0,0
99,-7.645,1.13,-7.495,0.63,11,0.562,1.65,0.0,0
100,-7.495,0.63,-8.495,0.68,21,1.021,0.825,0.0,0
101,-8.495,0.68,-8.595,0.58,3,0.141,0.762,0.0,0
102,-8.595,0.58,-11.945,-0.02,68,3.599,0.412,0.67477,66
103,-11.945,-0.02,-12.445,-0.52,11,0.707,0.757,0.0,0
104,-12.445,-0.52,-13.695,-0.52,26,1.25,1.312,0.0,0
