lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec
0,0,1.705,-1.12,,reached,succeeded,4,2.651,4.404
0,1,0.005,-0.37,,reached,succeeded,4,4.601,9.006
0,2,-0.495,0.13,,reached,succeeded,4,1.201,10.208
0,3,-0.495,0.68,,reached,succeeded,4,1.001,11.21
0,4,0.105,0.68,,reached,succeeded,4,1.452,12.663
0,5,0.105,2.68,,reached,succeeded,4,3.201,15.865
0,6,-0.645,4.33,,reached,succeeded,4,2.601,18.468
0,7,-0.695,4.38,,reached,succeeded,4,0.301,18.77
0,8,-0.995,4.68,,reached,succeeded,4,1.001,19.772
0,9,0.605,6.38,,reached,succeeded,4,4.751,24.524
0,10,1.105,6.88,,reached,succeeded,4,1.651,26.176
0,11,1.905,8.58,,reached,succeeded,4,5.602,31.778
0,12,2.255,10.43,,reached,succeeded,4,2.801,34.58
0,13,3.055,11.23,,reached,succeeded,4,1.901,36.483
0,14,3.305,13.13,,reached,succeeded,4,2.751,39.234
0,15,3.305,13.53,,reached,succeeded,4,0.801,40.037
0,16,3.555,13.53,,reached,succeeded,4,0.601,40.638
0,17,3.555,11.53,,reached,succeeded,4,3.601,44.24
0,18,3.555,11.38,,reached,succeeded,4,0.501,44.742
0,19,3.305,9.63,,reached,succeeded,4,2.651,47.394
0,20,2.955,7.73,,reached,succeeded,4,2.801,50.197
0,21,2.155,6.03,,reached,succeeded,4,3.852,54.049
0,22,2.105,4.13,,missed,goal_timeout,,14.078,68.128
0,23,3.805,3.93,,missed,action_status_6,6,12.572,80.701
0,24,5.005,4.33,,missed,goal_timeout,,13.92,94.623
0,25,6.655,5.18,,missed,action_status_6,6,4.08,98.704
0,26,6.905,5.43,,missed,goal_timeout,,14.257,112.962
0,27,5.105,4.88,,missed,goal_timeout,,14.008,126.971
0,28,3.405,4.08,,missed,goal_timeout,,13.661,140.634
0,29,2.705,3.53,,missed,goal_timeout,,13.974,154.608
0,30,1.805,1.88,,missed,goal_timeout,,13.746,168.356
0,31,3.705,1.53,,missed,action_status_6,6,11.199,179.556
0,32,5.455,0.88,,missed,goal_timeout,,13.633,193.19
0,33,5.605,0.88,,missed,goal_timeout,,13.68,206.871
0,34,7.505,0.68,,missed,goal_timeout,,13.838,220.711
0,35,9.505,0.68,,missed,goal_timeout,,13.769,234.481
0,36,11.505,0.68,,missed,mission_timeout,,5.678,240.159
0,37,12.605,0.68,,missed,mission_timeout,,,240.159
0,38,12.555,0.53,,missed,mission_timeout,,,240.159
0,39,11.505,0.43,,missed,mission_timeout,,,240.159
0,40,9.505,0.43,,missed,mission_timeout,,,240.159
0,41,7.505,0.43,,missed,mission_timeout,,,240.159
0,42,5.655,0.13,,missed,mission_timeout,,,240.159
0,43,5.305,-0.22,,missed,mission_timeout,,,240.159
0,44,4.355,-2.22,,missed,mission_timeout,,,240.159
0,45,3.655,-3.52,,missed,mission_timeout,,,240.159
0,46,3.555,-3.97,,missed,mission_timeout,,,240.159
0,47,2.605,-5.57,,missed,mission_timeout,,,240.159
0,48,1.205,-6.97,,missed,mission_timeout,,,240.159
0,49,0.855,-7.32,,missed,mission_timeout,,,240.159
0,50,1.355,-9.12,,missed,mission_timeout,,,240.159
0,51,2.755,-10.52,,missed,mission_timeout,,,240.159
0,52,3.555,-11.32,,missed,mission_timeout,,,240.159
0,53,3.555,-12.62,,missed,mission_timeout,,,240.159
0,54,1.855,-11.92,,missed,mission_timeout,,,240.159
0,55,1.155,-11.22,,missed,mission_timeout,,,240.159
0,56,0.955,-11.37,,missed,mission_timeout,,,240.159
0,57,-0.495,-12.47,,missed,mission_timeout,,,240.159
0,58,-0.495,-11.32,,missed,mission_timeout,,,240.159
0,59,-0.495,-9.32,,missed,mission_timeout,,,240.159
0,60,-0.495,-7.32,,missed,mission_timeout,,,240.159
0,61,-0.495,-5.32,,missed,mission_timeout,,,240.159
0,62,-0.495,-3.82,,missed,mission_timeout,,,240.159
0,63,-0.995,-1.97,,missed,mission_timeout,,,240.159
0,64,-2.845,-1.92,,missed,mission_timeout,,,240.159
0,65,-4.295,-3.27,,missed,mission_timeout,,,240.159
0,66,-4.495,-3.47,,missed,mission_timeout,,,240.159
0,67,-5.845,-4.92,,missed,mission_timeout,,,240.159
0,68,-5.345,-6.72,,missed,mission_timeout,,,240.159
0,69,-6.795,-8.17,,missed,mission_timeout,,,240.159
0,70,-7.145,-8.57,,missed,mission_timeout,,,240.159
0,71,-7.445,-8.87,,missed,mission_timeout,,,240.159
0,72,-6.395,-7.27,,missed,mission_timeout,,,240.159
0,73,-5.345,-5.67,,missed,mission_timeout,,,240.159
0,74,-5.245,-4.12,,missed,mission_timeout,,,240.159
0,75,-5.195,-4.07,,missed,mission_timeout,,,240.159
0,76,-4.595,-2.27,,missed,mission_timeout,,,240.159
0,77,-3.895,-0.52,,missed,mission_timeout,,,240.159
0,78,-4.095,0.03,,missed,mission_timeout,,,240.159
0,79,-5.495,1.43,,missed,mission_timeout,,,240.159
0,80,-6.245,3.08,,missed,mission_timeout,,,240.159
0,81,-6.295,3.13,,missed,mission_timeout,,,240.159
0,82,-7.195,4.03,,missed,mission_timeout,,,240.159
0,83,-7.445,4.68,,missed,mission_timeout,,,240.159
0,84,-7.945,6.48,,missed,mission_timeout,,,240.159
0,85,-8.495,7.03,,missed,mission_timeout,,,240.159
0,86,-8.495,5.03,,missed,mission_timeout,,,240.159
0,87,-8.495,3.03,,missed,mission_timeout,,,240.159
0,88,-8.095,1.23,,missed,mission_timeout,,,240.159
0,89,-7.495,0.63,,missed,mission_timeout,,,240.159
0,90,-8.495,0.68,,missed,mission_timeout,,,240.159
0,91,-10.395,0.43,,missed,mission_timeout,,,240.159
0,92,-12.095,-0.17,,missed,mission_timeout,,,240.159
0,93,-12.145,-0.22,,missed,mission_timeout,,,240.159
0,94,-12.445,-0.52,,missed,mission_timeout,,,240.159
0,95,-13.945,-0.47,,missed,mission_timeout,,,240.159
