wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count,path_error_m,path_error_status,edge_from,edge_to,target_x,target_y,edge_start_x,edge_start_y
0.504,1782025572.858,,,local_missing,local_missing,,,,0.0,0.0,,,,,,missing,0,0,0,0,0,missing_costmap,0,0,0,0,0,missing_costmap,3.804,701,,missing_pose,,,,,,
1.004,1782025573.358,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
1.504,1782025573.858,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
2.004,1782025574.358,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
2.504,1782025574.858,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
3.004,1782025575.358,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
3.507,1782025575.862,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
4.004,1782025576.358,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
4.504,1782025576.858,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
5.004,1782025577.358,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
5.504,1782025577.858,,,ok,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
