lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec
0,0,1.705,-1.12,,reached,succeeded,4,2.752,4.506
0,1,0.005,-0.37,,reached,succeeded,4,3.401,7.907
0,2,-0.495,0.13,,reached,succeeded,4,1.201,9.109
0,3,-0.495,0.68,,reached,succeeded,4,0.902,10.011
0,4,0.105,0.68,,reached,succeeded,4,1.551,11.563
0,5,0.105,2.68,,reached,succeeded,4,3.301,14.865
0,6,-0.645,4.33,,reached,succeeded,4,2.651,17.517
0,7,-0.695,4.38,,reached,succeeded,4,0.301,17.818
0,8,-0.995,4.68,,reached,succeeded,4,1.101,18.92
0,9,0.605,6.38,,missed,safe_pose_cost_99_safe_recovered,,3.501,22.422
0,10,1.105,6.88,,reached,succeeded,4,1.201,23.624
0,11,1.905,8.58,,reached,succeeded,4,3.001,26.626
0,12,2.255,10.43,,missed,safe_pose_cost_100_safe_pose_timeout,,7.767,34.394
