lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec
0,0,1.705,-1.12,,reached,succeeded,4,2.902,4.406
0,1,0.005,-0.37,,reached,succeeded,4,6.252,10.659
0,2,-0.495,0.13,,reached,succeeded,4,1.451,12.111
0,3,-0.495,0.68,,reached,succeeded,4,0.901,13.013
0,4,0.105,0.68,,reached,succeeded,4,1.551,14.565
0,5,0.105,2.68,,reached,succeeded,4,3.402,17.968
0,6,-0.645,4.33,,reached,succeeded,4,2.601,20.571
0,7,-0.695,4.38,,reached,succeeded,4,0.401,20.973
0,8,-0.995,4.68,,reached,succeeded,4,1.001,21.974
0,9,0.605,6.38,,missed,safe_pose_cost_99_safe_pose_timeout,,7.298,29.273
