wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,tf_error,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count,path_error_m,path_error_status,edge_from,edge_to,target_x,target_y,edge_start_x,edge_start_y
0.507,1782026894.876,,,missing_tf,"""map"" passed to lookupTransform argument target_frame does not exist. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.006,1782026895.376,,,missing_tf,Could not find a connection between 'map' and 'base_footprint' because they are not part of the same tree.Tf has two or more unconnected trees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.506,1782026895.876,,,missing_tf,Could not find a connection between 'map' and 'base_footprint' because they are not part of the same tree.Tf has two or more unconnected trees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.007,1782026896.376,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
2.507,1782026896.876,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
3.007,1782026897.376,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
3.51,1782026897.879,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
4.007,1782026898.376,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
4.507,1782026898.876,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
5.007,1782026899.376,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
5.507,1782026899.876,,,ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,0,0,0,0,0,missing_plan,0,0,0,0,0,missing_plan,3.804,701,,missing_plan,,,,,,
6.007,1782026900.376,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,0.0,0.0,0.0,0.0,0.0,0,ok,0,ok,0,ok,35,31,31,0,0,ok,35,35,35,0,0,ok,3.804,701,0.035,ok,,0,1.705,-1.12,,
6.507,1782026900.876,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,0.352,-0.034,-11.3,0.352,-0.034,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,4.422,704,0.19,ok,,0,1.705,-1.12,,
7.007,1782026901.376,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,0.684,-0.149,-29.0,0.685,-0.152,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,4.284,714,0.344,ok,,0,1.705,-1.12,,
7.507,1782026901.876,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,1.05,-0.374,-34.5,1.024,-0.384,0,ok,0,ok,0,ok,21,21,21,0,0,ok,21,21,21,0,0,ok,3.958,718,0.091,ok,,0,1.705,-1.12,,
8.008,1782026902.377,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,1.351,-0.615,-39.2,1.342,-0.626,0,ok,0,ok,0,ok,21,21,21,0,0,ok,21,21,21,0,0,ok,3.484,717,0.133,ok,,0,1.705,-1.12,,
8.507,1782026902.876,0,"heading to waypoint #0 (1.7, -1.1)",ok,,,1.647,-0.893,-50.2,1.637,-0.891,0,ok,0,ok,0,ok,9,9,9,0,0,ok,9,9,9,0,0,ok,5.128,719,0.029,ok,,0,1.705,-1.12,,
9.007,1782026903.376,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,1.701,-0.957,-69.9,1.685,-0.969,0,ok,0,ok,0,ok,35,32,32,0,0,ok,35,35,35,0,0,ok,5.018,712,0.03,ok,0,1,0.005,-0.37,1.705,-1.12
9.507,1782026903.876,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,1.706,-0.96,-55.2,1.685,-0.969,0,ok,0,ok,0,ok,35,32,32,0,0,ok,35,35,35,0,0,ok,5.017,719,0.024,ok,0,1,0.005,-0.37,1.705,-1.12
10.007,1782026904.376,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,1.706,-0.96,-53.1,1.685,-0.969,0,ok,0,ok,0,ok,35,32,32,0,0,ok,35,35,35,0,0,ok,5.02,719,0.024,ok,0,1,0.005,-0.37,1.705,-1.12
10.507,1782026904.876,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,1.706,-0.96,-52.5,1.685,-0.969,0,ok,0,ok,0,ok,35,32,32,0,0,ok,35,35,35,0,0,ok,5.019,719,0.024,ok,0,1,0.005,-0.37,1.705,-1.12
11.007,1782026905.376,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,1.717,-0.963,-51.1,1.685,-0.969,0,ok,0,ok,0,ok,35,31,31,0,0,ok,35,35,35,0,0,ok,5.02,719,0.014,ok,0,1,0.005,-0.37,1.705,-1.12
11.507,1782026905.876,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,1.722,-0.965,-52.3,1.685,-0.969,0,ok,0,ok,0,ok,35,31,31,0,0,ok,35,35,35,0,0,ok,3.43,719,0.01,ok,0,1,0.005,-0.37,1.705,-1.12
12.007,1782026906.377,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,1.7,-0.954,-129.7,1.676,-0.981,0,ok,0,ok,0,ok,35,31,31,0,0,ok,35,35,35,0,0,ok,3.293,714,0.032,ok,0,1,0.005,-0.37,1.705,-1.12
12.507,1782026906.876,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,1.435,-1.07,-162.9,1.398,-1.119,0,ok,0,ok,0,ok,33,31,31,0,0,ok,33,33,33,0,0,ok,2.996,706,0.078,ok,0,1,0.005,-0.37,1.705,-1.12
13.007,1782026907.376,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,1.041,-1.12,178.8,1.008,-1.172,0,ok,0,ok,0,ok,33,33,33,0,0,ok,33,33,33,0,0,ok,2.635,707,0.248,ok,0,1,0.005,-0.37,1.705,-1.12
13.507,1782026907.876,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,0.629,-1.075,170.1,0.599,-1.14,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,5.128,719,0.067,ok,0,1,0.005,-0.37,1.705,-1.12
14.007,1782026908.376,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,0.203,-0.977,158.4,0.173,-1.041,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,4.747,716,0.3,ok,0,1,0.005,-0.37,1.705,-1.12
14.507,1782026908.876,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,-0.074,-0.729,117.6,-0.116,-0.762,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,4.36,700,0.322,ok,0,1,0.005,-0.37,1.705,-1.12
15.007,1782026909.376,1,"heading to waypoint #1 (0.0, -0.4)",ok,,,-0.131,-0.502,74.2,-0.17,-0.555,0,ok,0,ok,0,ok,8,8,8,0,0,ok,8,8,8,0,0,ok,3.523,705,0.092,ok,0,1,0.005,-0.37,1.705,-1.12
15.507,1782026909.876,2,"heading to waypoint #2 (-0.5, 0.1)",ok,,,-0.062,-0.272,83.6,-0.124,-0.333,0,ok,0,ok,0,ok,13,13,13,0,0,ok,13,13,13,0,0,ok,3.454,704,0.166,ok,1,2,-0.495,0.13,0.005,-0.37
16.007,1782026910.376,2,"heading to waypoint #2 (-0.5, 0.1)",ok,,,-0.096,0.07,123.8,-0.169,0.015,0,ok,0,ok,0,ok,13,13,13,0,0,ok,13,13,13,0,0,ok,3.757,689,0.306,ok,1,2,-0.495,0.13,0.005,-0.37
16.507,1782026910.876,3,"heading to waypoint #3 (-0.5, 0.7)",ok,,,-0.281,0.176,164.2,-0.359,0.147,0,ok,0,ok,0,ok,11,11,11,0,0,ok,11,11,11,0,0,ok,3.522,701,0.006,ok,2,3,-0.495,0.68,-0.495,0.13
17.007,1782026911.376,3,"heading to waypoint #3 (-0.5, 0.7)",ok,,,-0.487,0.32,119.1,-0.56,0.282,0,ok,0,ok,0,ok,11,11,11,0,0,ok,11,11,11,0,0,ok,3.3,691,0.153,ok,2,3,-0.495,0.68,-0.495,0.13
17.507,1782026911.876,4,"heading to waypoint #4 (0.1, 0.7)",ok,,,-0.515,0.465,94.6,-0.614,0.421,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,14,0,0,ok,4.605,699,0.014,ok,3,4,0.105,0.68,-0.495,0.68
18.007,1782026912.376,4,"heading to waypoint #4 (0.1, 0.7)",ok,,,-0.424,0.675,44.3,-0.52,0.631,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,14,0,0,ok,3.116,699,0.189,ok,3,4,0.105,0.68,-0.495,0.68
18.507,1782026912.876,4,"heading to waypoint #4 (0.1, 0.7)",ok,,,-0.13,0.854,14.0,-0.222,0.806,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,14,0,0,ok,2.773,699,0.27,ok,3,4,0.105,0.68,-0.495,0.68
19.007,1782026913.376,5,"heading to waypoint #5 (0.1, 2.7)",ok,,,-0.027,0.829,-26.5,-0.095,0.806,0,ok,0,ok,0,ok,38,30,30,0,0,ok,38,38,38,0,0,ok,5.345,701,0.004,ok,4,5,0.105,2.68,0.105,0.68
19.507,1782026913.876,5,"heading to waypoint #5 (0.1, 2.7)",ok,,,0.002,0.836,20.6,-0.082,0.809,0,ok,0,ok,0,ok,38,30,30,0,0,ok,38,38,38,0,0,ok,2.631,700,0.029,ok,4,5,0.105,2.68,0.105,0.68
20.007,1782026914.376,5,"heading to waypoint #5 (0.1, 2.7)",ok,,,0.107,0.992,59.9,0.054,1.007,0,ok,0,ok,0,ok,38,33,33,0,0,ok,38,38,38,0,0,ok,2.45,697,0.133,ok,4,5,0.105,2.68,0.105,0.68
