lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec
0,0,0.575,-1.425,,reached,succeeded,4,9.234,9.235
0,1,0.575,0.775,,reached,succeeded,4,14.004,23.241
0,2,-1.625,0.775,,reached,succeeded,4,12.404,35.647
0,3,-1.625,2.975,,reached,succeeded,4,12.504,48.153
0,4,-3.825,2.975,,missed,mission_timeout,,12.3,60.455
0,5,-3.825,5.225,,missed,mission_timeout,,,60.455
0,6,-1.625,5.225,,missed,mission_timeout,,,60.455
0,7,0.575,5.225,,missed,mission_timeout,,,60.455
0,8,0.575,7.425,,missed,mission_timeout,,,60.455
0,9,2.775,7.425,,missed,mission_timeout,,,60.455
0,10,6.175,9.575,,missed,mission_timeout,,,60.455
0,11,5.025,7.375,,missed,mission_timeout,,,60.455
0,12,5.025,5.175,,missed,mission_timeout,,,60.455
0,13,2.825,5.175,,missed,mission_timeout,,,60.455
0,14,1.375,2.975,,missed,mission_timeout,,,60.455
0,15,2.775,0.575,,missed,mission_timeout,,,60.455
0,16,5.025,0.825,,missed,mission_timeout,,,60.455
0,17,4.125,-1.375,,missed,mission_timeout,,,60.455
0,18,4.025,-3.625,,missed,mission_timeout,,,60.455
0,19,5.025,-5.825,,missed,mission_timeout,,,60.455
0,20,2.775,-5.775,,missed,mission_timeout,,,60.455
0,21,0.575,-5.775,,missed,mission_timeout,,,60.455
0,22,0.575,-7.975,,missed,mission_timeout,,,60.455
0,23,-1.625,-7.975,,missed,mission_timeout,,,60.455
0,24,-3.825,-7.975,,missed,mission_timeout,,,60.455
0,25,-2.575,-5.775,,missed,mission_timeout,,,60.455
0,26,-6.825,-4.675,,missed,mission_timeout,,,60.455
0,27,-10.375,-5.025,,missed,mission_timeout,,,60.455
0,28,-13.075,-4.825,,missed,mission_timeout,,,60.455
0,29,-8.225,-7.975,,missed,mission_timeout,,,60.455
0,30,-8.225,-10.225,,missed,mission_timeout,,,60.455
0,31,-6.025,-10.175,,missed,mission_timeout,,,60.455
0,32,-6.025,-12.425,,missed,mission_timeout,,,60.455
0,33,-3.925,-11.175,,missed,mission_timeout,,,60.455
0,34,-1.575,-10.225,,missed,mission_timeout,,,60.455
0,35,0.625,-10.225,,missed,mission_timeout,,,60.455
0,36,0.625,-12.425,,missed,mission_timeout,,,60.455
0,37,2.825,-12.425,,missed,mission_timeout,,,60.455
0,38,2.825,-10.225,,missed,mission_timeout,,,60.455
0,39,2.825,-8.025,,missed,mission_timeout,,,60.455
0,40,5.025,-8.025,,missed,mission_timeout,,,60.455
0,41,5.575,-12.425,,missed,mission_timeout,,,60.455
0,42,8.925,-10.225,,missed,mission_timeout,,,60.455
0,43,7.225,-9.225,,missed,mission_timeout,,,60.455
0,44,7.225,-6.225,,missed,mission_timeout,,,60.455
0,45,12.375,-6.525,,missed,mission_timeout,,,60.455
0,46,11.625,-3.625,,missed,mission_timeout,,,60.455
0,47,9.525,-3.625,,missed,mission_timeout,,,60.455
0,48,7.225,-3.625,,missed,mission_timeout,,,60.455
0,49,7.225,-1.175,,missed,mission_timeout,,,60.455
0,50,9.425,-1.425,,missed,mission_timeout,,,60.455
0,51,11.625,-1.425,,missed,mission_timeout,,,60.455
0,52,13.825,-1.425,,missed,mission_timeout,,,60.455
0,53,13.825,0.775,,missed,mission_timeout,,,60.455
0,54,11.625,0.775,,missed,mission_timeout,,,60.455
0,55,9.375,0.825,,missed,mission_timeout,,,60.455
0,56,12.675,3.725,,missed,mission_timeout,,,60.455
0,57,11.575,5.175,,missed,mission_timeout,,,60.455
0,58,11.725,7.375,,missed,mission_timeout,,,60.455
0,59,9.375,5.175,,missed,mission_timeout,,,60.455
0,60,9.375,7.375,,missed,mission_timeout,,,60.455
0,61,10.275,9.475,,missed,mission_timeout,,,60.455
0,62,7.225,11.825,,missed,mission_timeout,,,60.455
0,63,4.975,11.825,,missed,mission_timeout,,,60.455
0,64,2.775,11.825,,missed,mission_timeout,,,60.455
0,65,2.775,9.625,,missed,mission_timeout,,,60.455
0,66,0.575,10.625,,missed,mission_timeout,,,60.455
0,67,-2.375,11.975,,missed,mission_timeout,,,60.455
0,68,-1.625,10.075,,missed,mission_timeout,,,60.455
0,69,-2.625,7.425,,missed,mission_timeout,,,60.455
0,70,-4.425,7.425,,missed,mission_timeout,,,60.455
0,71,-8.225,11.325,,missed,mission_timeout,,,60.455
0,72,-6.025,6.425,,missed,mission_timeout,,,60.455
0,73,-6.025,3.375,,missed,mission_timeout,,,60.455
0,74,-8.225,3.225,,missed,mission_timeout,,,60.455
0,75,-13.675,1.975,,missed,mission_timeout,,,60.455
0,76,-10.225,0.775,,missed,mission_timeout,,,60.455
0,77,-3.775,-1.425,,missed,mission_timeout,,,60.455
0,78,-7.325,-1.375,,missed,mission_timeout,,,60.455
0,79,-13.925,-1.425,,missed,mission_timeout,,,60.455
