object_index,object_name,type,kind,samples,inside,near_occupied,coverage_inside,mean_distance_to_occupied_m,max_distance_to_occupied_m,occupied_samples,free_samples,unknown_samples,outside_samples
21,,SolidBox,obstacle,5,5,5,1.0,0.20810249675906656,0.45,2,0,3,0
18,,PottedTree,obstacle,1,1,1,1.0,0.0,0.0,1,0,0,0
19,potted tree(1),PottedTree,obstacle,1,1,1,1.0,0.07071067811865477,0.07071067811865477,0,0,1,0
20,potted tree(2),PottedTree,obstacle,1,1,1,1.0,0.1,0.1,0,0,1,0
11,wall(B)4,Wall,wall,5,3,1,0.3333333333333333,0.5858930504255832,0.6946221994724903,0,0,3,2
10,wall(B)1,Wall,wall,5,3,2,0.6666666666666666,0.3546451081536853,0.552268050859363,0,0,3,2
13,wall(B)10,Wall,wall,5,3,2,0.6666666666666666,0.40378263254514174,0.6020797289396148,0,0,3,2
1,,Wall,wall,5,5,5,1.0,0.1593266717077912,0.3905124837953327,2,1,2,0
2,wall(1),Wall,wall,5,5,5,1.0,0.1706225774829855,0.40311288741492746,2,1,2,0
3,wall(2),Wall,wall,5,5,5,1.0,0.31832719429096473,0.40311288741492746,0,0,5,0
4,wall(3),Wall,wall,5,5,5,1.0,0.030000000000000006,0.05,2,3,0,0
5,wall(4),Wall,wall,5,5,5,1.0,0.02,0.05,3,2,0,0
6,wall(5),Wall,wall,5,5,5,1.0,0.01,0.05,4,1,0,0
7,wall(6),Wall,wall,5,5,5,1.0,0.0,0.0,5,0,0,0
8,wall(7),Wall,wall,5,5,5,1.0,0.0,0.0,5,0,0,0
16,wall(D)1,Wall,wall,5,5,5,1.0,0.01,0.05,4,0,1,0
17,wall(D)2,Wall,wall,5,5,5,1.0,0.04,0.1,3,0,2,0
9,wall(A),Wall,wall,5,3,3,1.0,0.05000000000000001,0.1,1,0,2,2
12,wall(B)7,Wall,wall,5,3,3,1.0,0.46414763002993503,0.49244289008980524,0,0,3,2
14,wall(B)13,Wall,wall,5,3,3,1.0,0.18333333333333335,0.35000000000000003,0,0,3,2
15,wall(C),Wall,wall,5,3,3,1.0,0.0,0.0,3,0,0,2
