lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec,nav_recoveries,nav_distance_remaining_m
0,0,-0.575,1.395,,reached,succeeded,4,16.061,17.063,0,0.045
0,1,-0.675,0.345,,reached,succeeded,4,13.061,30.125,0,0.055
0,2,-1.275,0.195,,reached,succeeded,4,11.061,41.186,0,0.045
0,3,-2.225,1.145,,reached,succeeded,4,16.061,57.248,0,0.045
0,4,-2.225,-0.155,,reached,succeeded,4,12.761,70.009,0,0.055
0,5,-2.275,-1.655,,reached,succeeded,4,15.261,85.27,0,0.036
0,6,0.775,-1.655,,reached,succeeded,4,18.961,104.232,0,0.04
0,7,0.775,-0.155,,reached,succeeded,4,16.261,120.494,0,0.02
0,8,4.475,-0.155,,reached,succeeded,4,28.561,149.056,0,0.037
0,9,4.175,1.045,,reached,succeeded,4,14.061,163.118,0,0.025
0,10,3.675,1.395,,reached,succeeded,4,12.261,175.379,0,0.07
0,11,4.975,3.195,,reached,succeeded,4,17.961,193.341,0,0.034
0,12,3.375,3.145,,reached,succeeded,4,17.861,211.203,0,0.059
0,13,1.075,3.195,,reached,succeeded,4,19.671,230.875,0,0.059
0,14,-0.725,3.595,,reached,succeeded,4,19.262,250.137,0,0.05
0,15,-5.325,3.095,,reached,succeeded,4,33.362,283.5,0,0.066
0,16,-5.675,1.245,,reached,succeeded,4,17.161,300.662,0,0.066
0,17,-5.175,0.545,,reached,succeeded,4,9.561,310.223,0,0.066
0,18,-5.225,-1.355,,reached,succeeded,4,14.861,325.085,0,0.048
